Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
baseline1,-,-,-,-,0,-,0,0.47702163822971827,0.21530789885220267,0.0,0,0,0.0,1.0,0.47702163822971827,0.645923696556608,2.096340962039194,0.0,0,0,0.0,1
baseline0,-,-,-,-,0,-,0,0.33594822514218475,0.329427407889328,0.3465,0.26658972879399884,0.3013371018588977,1.29975,0.33095792791558176,0.4781231439318947,0.39115646258503406,0.6922022749074962,0.3345,0.2651079849415494,0.2957886592240522,1.26175,1
RandomForest,-,-,-,-,0,-,0,0.557429561351899,0.5302528225681652,0.432,0.46526655896607433,0.4480165932071558,0.9285,0.6704124982869673,0.6109654052703885,0.6393099843178255,1.0973002603809785,0.47675,0.5332774049217002,0.5034318901795143,0.894,1
MLP,-,-,-,-,0,-,0,0.5529188729816303,0.47986834458278244,0.237,0.49297971918876754,0.3201080533513422,0.48075,0.8133479512128272,0.5769978611705231,0.6750838878462151,1.409620391941894,0.39375,0.510038860103627,0.44441309255079003,0.772,1
LogisticRegressor,-,-,-,-,0,-,0,0.5346800026148918,0.4438087753900262,0.16475,0.4831378299120235,0.24571215510812827,0.341,0.8251336165547485,0.5575,0.6654141570426038,1.4800602987529121,0.37475,0.47845515480370254,0.42030001401934675,0.78325,1
transformer,onehot,sum,pure,-,2,sm,1,0.5762845849802372,0.5205179540981333,0.34,0.5003679175864606,0.4048824054778208,0.6795,0.7986072423398328,0.6198918918918919,0.6979914790018259,1.2883008356545962,0.4135,0.5149439601494396,0.45867997781475317,0.803,12
transformer,onehot,RankQ,AvgAgg,-,2,sm,1,0.5843214756258235,0.5395519178942038,0.394,0.5048046124279308,0.44257231114855383,0.7805,0.771309192200557,0.6321917808219178,0.6948557089084065,1.2200557103064067,0.439,0.5324439053972104,0.4812277336256509,0.8245,14
transformer,onehot,RankQ,PrevQ,-,2,sm,1,0.5789196310935442,0.5182413736363004,0.3575,0.5074520936834634,0.4194778527427398,0.7045,0.8211699164345404,0.6139108704706372,0.7025738798856053,1.3376044568245125,0.3655,0.5300942712110225,0.4326723882805563,0.6895,14
transformer,onehot,pure,AvgAgg,-,2,sm,1,0.5513833992094862,0.48807859096620354,0.297,0.4714285714285714,0.3644171779141104,0.63,0.7972144846796657,0.5826547231270358,0.6732533521524348,1.3682451253481893,0.3645,0.5141043723554302,0.4265652428320655,0.709,13
transformer,onehot,sum,AvgAgg,-,2,sm,1,0.5844532279314888,0.5275431619250843,0.3265,0.542809642560266,0.4077427411801436,0.6015,0.815041782729805,0.6107284491755375,0.698246032692996,1.3345403899721449,0.4285,0.5369674185463659,0.47664071190211343,0.798,13
transformer,onehot,sum,pure,partial,2,sm,1,0.5330698287220026,0.3850922132777131,0.0865,0.34189723320158105,0.1380686352753392,0.253,0.949025069637883,0.5540738331436006,0.6996611561761987,1.7128133704735375,0.233,0.4983957219251337,0.31754684838160135,0.4675,1
gat,onehot,sum,-,-,2,sm,1,0.5205533596837945,0.35624370610632755,0.1365,0.4634974533106961,0.21089223638470453,0.2945,0.9649025069637883,0.5292589763177998,0.6835717809570794,1.8231197771587744,0.107,0.4692982456140351,0.1742671009771987,0.228,1
transformer,onehot,pure,PrevQ,-,2,gru,1,0.2635046113306983,0.13903371567605147,1.0,0.2635046113306983,0.4171011470281544,3.795,0.0,0,0,0.0,0.0,0,0,0.0,2
gat,onehot,-,-,-,2,sm,1,0.5059288537549407,0.31493944670337154,0.057,0.475,0.10178571428571427,0.12,0.9788300835654596,0.5092753623188406,0.6699714013346044,1.9220055710306407,0.106,0.4711111111111111,0.1730612244897959,0.225,2
transformer,onehot,pure,pure,-,2,sm,1,0.49683794466403164,0.30933510954499116,0.195,0.3884462151394422,0.2596537949400799,0.502,0.9406685236768803,0.5135340632603407,0.6643714341924061,1.8317548746518106,0.002,0.4,0.003980099502487562,0.005,12
hnhn,onehot,-,-,-,2,sm,1,0.5101449275362319,0.411807473830887,0.197,0.4178154825026511,0.2677539925246347,0.4715,0.8337047353760446,0.5408384531984098,0.6560718982902236,1.5415041782729806,0.2425,0.435759209344115,0.3115965306778028,0.5565,9
transformer,onehot,PosEnc,PrevQ,-,2,sm,1,0.5757575757575758,0.503354888537729,0.3065,0.5252784918594687,0.3871171455636249,0.5835,0.8534818941504179,0.5990224828934506,0.7039632395175187,1.424791086350975,0.3465,0.5298165137614679,0.41898428053204345,0.654,12
transformer,onehot,sum,PrevQ,-,2,sm,1,0.5823451910408433,0.5214476968302488,0.3295,0.5197160883280757,0.4033047735618115,0.634,0.8250696378830084,0.6136316552724259,0.7038137103481051,1.3445682451253482,0.3995,0.534448160535117,0.45722460658082975,0.7475,13
transformer,onehot,PosEnc,AvgAgg,-,2,sm,1,0.5770750988142292,0.5114920805189896,0.332,0.5123456790123457,0.4029126213592233,0.648,0.835933147632312,0.6033373542420587,0.7008407286314806,1.3855153203342618,0.3575,0.5416666666666666,0.43072289156626503,0.66,12
transformer,onehot,PosEnc,PrevQ,-,2,gru,1,0.2635046113306983,0.13903371567605147,1.0,0.2635046113306983,0.4171011470281544,3.795,0.0,0,0,0.0,0.0,0,0,0.0,2
transformer,onehot,PosEnc,pure,-,2,sm,1,0.5768115942028985,0.5099350507948949,0.331,0.5108024691358025,0.40169902912621364,0.648,0.8384401114206128,0.6055119694226514,0.7031888798037612,1.3846796657381615,0.353,0.5336356764928194,0.4249172434547096,0.6615,12
transformer,onehot,sum,pure,-,2,gru,1,0.577733860342556,0.51444499973217,0.371,0.4940079893475366,0.4237578526556253,0.751,0.8259052924791086,0.6165522977750052,0.7060364329086797,1.3395543175487465,0.339,0.5301016419077405,0.41354071363220496,0.6395,2
transformer,onehot,pure,AvgAgg,-,2,gru,1,0.47299077733860345,0.21407274895646988,0.0,0,0,0.0,1.0,0.47299077733860345,0.6422182468694096,2.114206128133705,0.0,0,0,0.0,2
transformer,onehot,pure,pure,-,2,gru,1,0.5338603425559947,0.41814168364146226,0.4705,0.39738175675675674,0.43086080586080583,1.184,0.8272980501392758,0.6156716417910447,0.7059662467316377,1.3437325905292479,0.0705,0.3542713567839196,0.11759799833194327,0.199,2
transformer,onehot,pure,pure,partial,2,sm,1,0.47299077733860345,0.21407274895646988,0.0,0,0,0.0,1.0,0.47299077733860345,0.6422182468694096,2.114206128133705,0.0,0,0,0.0,1
transformer,onehot,RankQ,AvgAgg,-,2,gru,1,0.5756258234519104,0.5004586381729542,0.303,0.5058430717863105,0.3789868667917448,0.599,0.86016713091922,0.6012461059190031,0.7077698831079533,1.4306406685236768,0.3375,0.5374203821656051,0.4146191646191646,0.628,1
transformer,onehot,sum,AvgAgg,-,2,gru,1,0.2635046113306983,0.13903371567605147,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0.2635046113306983,0.4171011470281544,3.795,2
transformer,onehot,PosEnc,AvgAgg,-,2,gru,1,0.2635046113306983,0.13903371567605147,0.0,0,0,0.0,0.0,0,0,0.0,1.0,0.2635046113306983,0.4171011470281544,3.795,1
transformer,onehot,sum,PrevQ,-,2,gru,1,0.5881422924901186,0.5305727975687269,0.3735,0.5205574912891986,0.43493449781659393,0.7175,0.8239554317548746,0.6183110367892977,0.7064724146166707,1.3325905292479108,0.3795,0.5536105032822757,0.450311480272916,0.6855,3
transformer,onehot,RankQ,pure,-,2,sm,1,0.5795783926218708,0.522745384213656,0.362,0.49827942188575364,0.4193454966695627,0.7265,0.8094707520891364,0.6173783726364989,0.7004941545136796,1.3111420612813371,0.3845,0.5377622377622377,0.4483965014577259,0.715,13
transformer,onehot,pure,PrevQ,-,2,sm,1,0.5749670619235837,0.4958790230426445,0.27,0.5416248746238717,0.3603603603603604,0.4985,0.8704735376044568,0.5902908953532301,0.7035119315623595,1.4746518105849582,0.3495,0.5381062355658198,0.42376477720521366,0.6495,13
transformer,onehot,RankQ,PrevQ,-,2,gru,1,0.47299077733860345,0.21407274895646988,0.0,0,0,0.0,1.0,0.47299077733860345,0.6422182468694096,2.114206128133705,0.0,0,0,0.0,2
transformer,adj,sum,pure,-,2,sm,1,0.5989459815546772,0.5514972019471642,0.3535,0.5674157303370787,0.43561306223043744,0.623,0.8064066852367688,0.6108883730744883,0.6951614839716653,1.3200557103064068,0.472,0.5881619937694704,0.5237170596393897,0.8025,5
transformer,adj,RankQ,AvgAgg,-,2,sm,1,0.5901185770750988,0.5701194115542563,0.466,0.531054131054131,0.496404793608522,0.8775,0.6724233983286908,0.6384554350700873,0.6549993216659883,1.0532033426183844,0.5665,0.5516066212268744,0.5589541193882586,1.027,2
