Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
baseline1,-,-,-,-,0,-,0,0.7335248287344781,0.28209376894050486,1.0,0.7335248287344781,0.8462813068215146,1.363280370107255,0.0,0,0,0.0,0.0,0,0,0.0,1
baseline0,-,-,-,-,0,-,0,0.3326173438910001,0.26900431342418524,0.33262869717394694,0.7327938313547353,0.45756167322130853,0.4539185278879975,0.3319580337144878,0.21479786422578184,0.260825267447784,1.5454438288341388,0.33525,0.05106237148732008,0.08862599960346308,6.5655,1
RandomForest,-,-,-,-,0,-,0,0.9322436736613328,0.8475463756327918,0.9683433541836328,0.961248043482,0.9647826537306219,1.0073813525548836,0.8702110102558057,0.8738680082864753,0.8720356752606243,0.9958151597312271,0.6745,0.7401920438957476,0.7058207979071288,0.91125,1
hat,onehot,-,-,-,2,sm,1,0.8088101194790619,0.600907082245482,0.9209531482399603,0.8660469724342911,0.8926565550382941,1.0633986117997025,0.5073555372484406,0.5820170109356014,0.5421277665995975,0.8717194303871955,0.28,0.5363984674329502,0.3679369250985545,0.522,1
hnhn,onehot,-,-,-,2,sm,1,0.8109845916434801,0.6413763886212992,0.9040964303420922,0.8891902599579435,0.8965813935622649,1.0167637580565196,0.5166529363304696,0.6123587669130981,0.5604493808247161,0.8437095445451336,0.559,0.4011481880157876,0.46709839147691673,1.3935,6
hat,onehot,sum,-,-,2,sm,1,0.8133227337557577,0.6079910205504614,0.9285758552305404,0.868155744828785,0.8973499026800419,1.0695959345562718,0.4966458750147111,0.5888098227989396,0.5388151174668028,0.8434741673531835,0.299,0.551660516605166,0.38780804150453957,0.542,1
hnhn,adj,-,-,-,2,sm,1,0.8244756716313217,0.660549612114544,0.9053978681209718,0.8999599593433333,0.9026707239839973,1.006042389687655,0.6000941508767801,0.6142633417660522,0.6070960828670079,0.9769330351888902,0.472,0.47176411794102946,0.47188202949262686,1.0005,4
transformer,rw,RankQ,AvgAgg,-,2,sm,1,0.8840281512310318,0.7626388285721433,0.943139563708478,0.9341087650380555,0.9386024423337856,1.0096678235002479,0.7190773214075556,0.7586292525453191,0.7383239683402815,0.9478639519830528,0.631,0.5922102299389957,0.6109900750423627,1.0655,18
transformer,rw,RankQ,PrevQ,-,2,sm,1,0.8944562650517899,0.7756025945232787,0.9374690133862171,0.9512939030909033,0.9443308622707764,0.9854672781358453,0.7961633517712133,0.7627691960762205,0.7791086030173903,1.0437801577027186,0.618,0.5894134477825465,0.6033683182816695,1.0485,19
transformer,rw,pure,AvgAgg,-,2,sm,1,0.7954593280179569,0.4795115507538825,0.9456804660386713,0.8367788988813336,0.8879029442569533,1.1301437778879524,0.40131811227492054,0.5655996019240338,0.4695029602092799,0.7095445451335766,0.046,0.34328358208955223,0.08112874779541446,0.134,1
hat,rw,-,-,-,2,sm,1,0.8596413289999766,0.7063087846523816,0.9357647496281606,0.9131565419854253,0.924322421682506,1.0247583044124937,0.6579969400965047,0.7089779355820441,0.682536775926265,0.9280922678592445,0.488,0.5386313465783664,0.5120671563483735,0.906,4
transformer,rw,RankQ,PrevQ,-,1,sm,1,0.8885173840866046,0.7679749536366165,0.946734010907288,0.9356587248116617,0.9411637864645905,1.011836886465047,0.7237848652465576,0.7817465361637219,0.751649963334148,0.9258561845357185,0.649,0.5774021352313167,0.6111111111111112,1.124,9
gat,rw,sum,-,-,2,sm,1,0.8086464495312025,0.49495906767007386,0.9026710461080814,0.8899037727203299,0.8962419431753503,1.0143468021814577,0.6418736024479228,0.5435519234602352,0.5886352598348713,1.180887372013652,0.0,0,0,0.0,5
gat,rw,-,-,-,2,sm,1,0.8036194439898057,0.48967265728562676,0.9004400099157164,0.8849199098605275,0.8926125019198281,1.0175384234010907,0.6250441332234906,0.534790051354345,0.5764054699370522,1.1687654466282218,0.0,0,0,0.0,8
transformer,rw,RankQ_half,PrevQ,-,2,sm,1,0.8901307021440763,0.777659673827379,0.9378408527516113,0.9454874886757677,0.9416486473873342,0.9919124938026772,0.7556784747557962,0.767511355486493,0.7615489533297753,0.9845827939272684,0.6915,0.5781772575250836,0.6297814207650274,1.196,3
transformer,rw,pure,pure,-,2,sm,1,0.8090439336902897,0.5960608407363605,0.9027020327218641,0.8883332316887236,0.8954599944671565,1.0161750123946456,0.5787925150052959,0.5831159592127104,0.5809461933731025,0.9925856184535718,0.276,0.3582089552238806,0.3117763343688224,0.7705,5
hgnn,rw,-,-,-,2,sm,1,0.8000187051368982,0.5830533840034914,0.9097979672781359,0.8689257176679491,0.8888922527322818,1.04703767972236,0.5117100152995174,0.5498229640870005,0.5300822919841512,0.9306814169706955,0.2535,0.4733893557422969,0.33018560729404106,0.5355,2
hnhn,rw,-,-,-,2,sm,1,0.8360962379293413,0.6769962698434998,0.9235560237977194,0.896256202074876,0.9097013444839531,1.0304598413485375,0.5850300105919737,0.652790544977019,0.6170556107249255,0.8961986583500059,0.4915,0.5176408636124276,0.5042318543216209,0.9495,10
transformer,rw,RankQ,AvgAgg,partial,2,sm,1,0.7825761649793075,0.474044548435709,0.9156234506693108,0.8456585198328659,0.879251346445681,1.0827342588001982,0.45298340590796754,0.5059148264984227,0.4779882024216082,0.8953748381781805,0.036,0.3287671232876712,0.06489409643983776,0.1095,1
hat,rw,sum,-,-,2,sm,1,0.8490963080736047,0.7099711476982634,0.9278941497273178,0.907644277400582,0.9176575140965921,1.0223103619236489,0.6015064140284806,0.6970812875068194,0.6457767388969612,0.8628927856890667,0.6295,0.5149284253578732,0.5664791901012373,1.2225,4
transformer,rw,RankQ_half,AvgAgg,-,2,sm,1,0.8778788374757418,0.7483369803856489,0.9384295984134854,0.930386163251513,0.9343905712478596,1.008645265245414,0.7189596328115806,0.7401259995153865,0.7293892901916303,0.9714016711780629,0.576,0.5865580448065173,0.581231079717457,0.982,1
transformer,rw,pure,pure,-,1,sm,1,0.8732493160934321,0.7413265604872682,0.9400099157164105,0.92516010978957,0.9325258983738587,1.016051065939514,0.6763563610686124,0.756582411795682,0.7142235754675946,0.8939625750264799,0.6325,0.5308434746118338,0.5772302076203514,1.1915,24
