Model,InitVec,Encode,Decode,Partial,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
baseline1,-,-,-,-,0.21563568423594606,0.11825674804398208,0.0,0,0,0.0,1.0,0.21563568423594606,0.35477024413194624,4.637451373334905,0.0,0,0,0.0,1
baseline0,-,-,-,-,0.3306981532556337,0.26750879435336367,0.33027220903435967,0.7319049264677648,0.4551554515497397,0.4512501516122884,0.33354945184486623,0.21552347945309822,0.26185132915346,1.5476246610868796,0.32475,0.04924371659274423,0.08551960235689127,6.59475,1
RandomForest,-,-,-,-,0.926282743807115,0.8378857488238891,0.9648432762115988,0.9570822089685637,0.9609470723247105,1.008109091539168,0.8552988329600377,0.8670530592734226,0.8611358376357486,0.9864434751856654,0.671,0.7134502923976608,0.6915743365112084,0.9405,1
MLP,-,-,-,-,0.8098984481246585,0.623154205004668,0.9296692253045241,0.8507460319977167,0.8884583540321245,1.0927693933775753,0.5209242013438642,0.6564171122994652,0.580874137364443,0.7935871743486974,0.3075,0.5726256983240223,0.40013012361743655,0.537,1
LogisticRegressor,-,-,-,-,0.7450653922901918,0.4629287939194558,0.9639595931592535,0.7716730934613144,0.8571648678422582,1.2491812936426803,0.10939526111045621,0.43825265643447464,0.17508608084524316,0.24961688082046446,0.283,0.4817021276595745,0.3565354330708661,0.5875,1
hat,onehot,-,-,-,0.8253174027917417,0.6530533471816498,0.9238968765493307,0.8825218292141483,0.9027355162965318,1.0468827466534456,0.5433682476168059,0.6303071672354948,0.5836177474402731,0.8620689655172413,0.4325,0.5213984327908379,0.47280677780814434,0.8295,1
hnhn,onehot,-,-,-,0.8275854006406509,0.6479693455157177,0.9270884977689638,0.8852822819268552,0.9057032148695283,1.047223599405057,0.5467812169000824,0.638449910677477,0.5890706225434258,0.856419912910439,0.415,0.4893867924528302,0.4491341991341991,0.848,3
hat,onehot,sum,-,-,0.8358156608758681,0.6721558690737655,0.926251859196827,0.8935521477894359,0.9096082160517307,1.0365951908775408,0.5809109097328469,0.6504150744498617,0.6137013552157154,0.8931387548546545,0.4595,0.5321366531557614,0.49315803595385027,0.8635,1
hnhn,adj,-,-,-,0.8458696719586617,0.6967587957626881,0.9227813584531482,0.907097167225099,0.9148720469417223,1.017290530490828,0.6358714840531953,0.6616458486407054,0.6485026705875293,0.9610450747322584,0.497,0.5606316976875353,0.5269016697588127,0.8865,2
transformer,rw,RankQ,AvgAgg,-,0.8937548224181066,0.7820808233917083,0.947942488844819,0.9386928505676588,0.9432949955289692,1.009853743182945,0.7406143344709898,0.7878067100650976,0.7634819532908704,0.9400965046486995,0.67,0.611592879963487,0.6394655213552851,1.0955,16
transformer,rw,RankQ,PrevQ,-,0.9018915569688327,0.7913130198500452,0.9500185919682697,0.9479037843185754,0.9489600099046676,1.002231036192365,0.7705072378486525,0.8043985747634844,0.7870882423659533,0.9578674826409321,0.6835,0.5979877515310587,0.6378908072795147,1.143,10
transformer,rw,pure,AvgAgg,-,0.8270943907970726,0.6170663414446974,0.9165220624690134,0.8955431754874652,0.9059111791730475,1.0234258800198315,0.6196304578086383,0.6216056670602125,0.6206164908351506,0.9968224079086736,0.2655,0.4177812745869394,0.3246713543258942,0.6355,1
hat,rw,-,-,-,0.8698823914517524,0.7355982272708496,0.9359506693108577,0.9237850567330336,0.9298280718496513,1.0131693108577096,0.6865952689184418,0.7316277903185352,0.7083965757998908,0.9384488643050488,0.5825,0.5552907530981888,0.5685700341630063,1.049,2
transformer,rw,RankQ,PrevQ,-,0.9015174542308682,0.7907386994541284,0.947136836886465,0.9496085497701007,0.9483710828420726,0.9973971244422409,0.7878074614569848,0.787066431510876,0.7874367721444536,1.0009415087678004,0.6485,0.6247591522157996,0.6364082433758588,1.038,7
gat,rw,sum,-,-,0.8152867731300708,0.49920604458897616,0.9146938522558254,0.8854460375547424,0.8998323426306966,1.0330317302925136,0.6295162998705426,0.5672923958001909,0.5967867901372309,1.1096857714487467,0.0005,0.5,0.0009990009990009992,0.001,5
