Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,NumHead,Sampling,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
baseline1,-,-,-,-,0,-,0,-,-,0.7335248287344781,0.28209376894050486,1.0,0.7335248287344781,0.8462813068215146,1.363280370107255,0.0,0,0,0.0,0.0,0,0,0.0,1
baseline0,-,-,-,-,0,-,0,-,-,0.3326173438910001,0.26900431342418524,0.33262869717394694,0.7327938313547353,0.45756167322130853,0.4539185278879975,0.3319580337144878,0.21479786422578184,0.260825267447784,1.5454438288341388,0.33525,0.05106237148732008,0.08862599960346308,6.5655,1
RandomForest,-,-,-,-,0,-,0,-,-,0.9321003530594589,0.8360408816009656,0.969447198810114,0.9605477265051733,0.9649769443116449,1.0092649975210708,0.8581852418500647,0.8662390116417201,0.8621933195388709,0.990702600917971,0.6435,0.7230337078651685,0.6809523809523809,0.89,1
MLP,-,-,-,-,0,-,0,-,-,0.8141816749069002,0.6682054326085977,0.9049954083135515,0.8805232901191901,0.8925916431684183,1.027792698352191,0.5804550277024637,0.6340866653789196,0.6060867156968335,0.9154190734409996,0.49525,0.5170973636126338,0.5059379389605414,0.95775,1
LogisticRegressor,-,-,-,-,0,-,0,-,-,0.7432733003723994,0.4777797430151307,0.9451076880425554,0.7881769839893648,0.8595381233404509,1.1991059206764507,0.16480018861251916,0.41532976827094475,0.235969280108026,0.3967935871743487,0.28475,0.41523878964637256,0.3378318255969153,0.68575,1
hat,onehot,-,-,-,2,sm,1,4,-1,0.8253174027917417,0.6530533471816498,0.9238968765493307,0.8825218292141483,0.9027355162965318,1.0468827466534456,0.5433682476168059,0.6303071672354948,0.5836177474402731,0.8620689655172413,0.4325,0.5213984327908379,0.47280677780814434,0.8295,1
transformer,onehot,RankQ,PrevQ,-,1,sm,1,4,-1,0.8440459211110851,0.6619254505251972,0.9489960337134358,0.8870159585252122,0.9169598347280647,1.0698748140803174,0.5498411203954336,0.6953415686858163,0.6140904311251313,0.7907496763563611,0.4005,0.525935653315824,0.45472608572239576,0.7615,1
hnhn,onehot,-,-,-,2,sm,1,4,-1,0.8376627931445675,0.6738653368874048,0.9250743678730788,0.8995148995148995,0.9121156108217106,1.0284147248388695,0.5902083088148758,0.6542726679712981,0.6205915109516149,0.9020830881487584,0.4785,0.49973890339425586,0.48888888888888893,0.9575,1
hat,onehot,sum,-,-,2,sm,1,4,-1,0.8358156608758681,0.6721558690737655,0.926251859196827,0.8935521477894359,0.9096082160517307,1.0365951908775408,0.5809109097328469,0.6504150744498617,0.6137013552157154,0.8931387548546545,0.4595,0.5321366531557614,0.49315803595385027,0.8635,1
hnhn,adj,-,-,-,2,sm,1,4,-1,0.8458696719586617,0.6967587957626881,0.9227813584531482,0.907097167225099,0.9148720469417223,1.017290530490828,0.6358714840531953,0.6616458486407054,0.6485026705875293,0.9610450747322584,0.497,0.5606316976875353,0.5269016697588127,0.8865,1
transformer,rw,RankQ,AvgAgg,-,2,sm,1,4,20,0.8888914868245692,0.7745579072885963,0.9392042637580565,0.941012108040981,0.9401073167705716,0.9980788299454636,0.7566199835235966,0.7584945729117508,0.7575561185412125,0.9975285394845239,0.639,0.6135381661065771,0.6260102865540045,1.0415,4
transformer,rw,RankQ,AvgAgg,-,2,sm,1,4,55,0.8738806144637471,0.7563407151555167,0.9231841844323252,0.936562824180315,0.9298253827068022,0.9857151710461081,0.7429681063904907,0.7182842189100012,0.7304176790466272,1.0343650700247147,0.6345,0.5850622406639004,0.6087790837131206,1.0845,4
transformer,rw,RankQ,AvgAgg,-,2,sm,1,4,45,0.8937548224181066,0.7820808233917083,0.947942488844819,0.9386928505676588,0.9432949955289692,1.009853743182945,0.7406143344709898,0.7878067100650976,0.7634819532908704,0.9400965046486995,0.67,0.611592879963487,0.6394655213552851,1.0955,4
transformer,rw,RankQ,AvgAgg,-,2,sm,1,4,10,0.8873950758727115,0.7696291251506416,0.9437592959841349,0.935210489145454,0.9394654451795986,1.0091410510659395,0.7303754266211604,0.7728518057285181,0.7510134930719429,0.9450394256796516,0.645,0.5939226519337016,0.6184084372003834,1.086,4
transformer,rw,RankQ,PrevQ,-,2,sm,1,4,-1,0.9018915569688327,0.7913130198500452,0.9500185919682697,0.9479037843185754,0.9489600099046676,1.002231036192365,0.7705072378486525,0.8043985747634844,0.7870882423659533,0.9578674826409321,0.6835,0.5979877515310587,0.6378908072795147,1.143,3
transformer,rw,RankQ,PrevQ,-,2,sm,1,4,15,0.900278238911361,0.7885027805704033,0.9500805651958354,0.9456266962743647,0.9478483986645234,1.0047099652949925,0.7663881369895257,0.7983327203628785,0.7820343461030383,0.959985877368483,0.6655,0.6083180987202925,0.6356255969436485,1.094,3
transformer,rw,RankQ,PrevQ,-,2,sm,1,4,25,0.9019149383899553,0.7873514346507339,0.9503284581060981,0.9473050193050193,0.9488143301313285,1.003191621219633,0.7798046369306815,0.798794454490657,0.789185326345879,0.9762269036130399,0.6395,0.6093377798951882,0.624054647474994,1.0495,3
hat,rw,-,-,-,2,sm,1,4,-1,0.8698823914517524,0.7355982272708496,0.9359506693108577,0.9237850567330336,0.9298280718496513,1.0131693108577096,0.6865952689184418,0.7316277903185352,0.7083965757998908,0.9384488643050488,0.5825,0.5552907530981888,0.5685700341630063,1.049,1
transformer,rw,RankQ,PrevQ,-,1,sm,1,16,-1,0.895999438845893,0.7803391387818893,0.9492749132374814,0.941919813061124,0.9455830606827582,1.007808626673277,0.7486171589972932,0.795125,0.771170515851367,0.9415087678004002,0.6625,0.5902004454342984,0.624263839811543,1.1225,3
transformer,rw,RankQ,PrevQ,-,1,sm,1,4,-1,0.9015174542308682,0.7907386994541284,0.947136836886465,0.9496085497701007,0.9483710828420726,0.9973971244422409,0.7878074614569848,0.787066431510876,0.7874367721444536,1.0009415087678004,0.6485,0.6247591522157996,0.6364082433758588,1.038,3
transformer,rw,RankQ,PrevQ,-,1,sm,1,4,20,0.8949238934742453,0.7730453610092328,0.9458353991075855,0.9423023492729911,0.9440655687002242,1.0037493802677244,0.7766270448393551,0.772897634106348,0.7747578514822425,1.0048252324349771,0.576,0.6267682263329706,0.6003126628452319,0.919,3
transformer,rw,pure,pure,-,2,sm,1,4,-1,0.857513619677804,0.7107938229595877,0.928265989092712,0.9189263803680982,0.9235725736835615,1.0101636093207735,0.6629398611274567,0.6986233411881434,0.6803140096618358,0.9489231493468283,0.5425,0.5151946818613485,0.5284948855333659,1.053,1
hgnn,rw,-,-,-,2,sm,1,4,-1,0.8194954289321705,0.6239557450631591,0.9130205751115518,0.8899930528287069,0.9013597638385413,1.0258738225086763,0.5817347299046722,0.5949687048627829,0.5882772984230883,0.9777568553607155,0.3205,0.4734121122599705,0.38223017292784733,0.677,1
hnhn,rw,-,-,-,2,sm,1,4,-1,0.8576772896256635,0.725185342382895,0.9270884977689638,0.91475830861895,0.9208821311500639,1.013479176995538,0.6622337295516064,0.6921279212792127,0.676850905154267,0.9568082852771567,0.568,0.587991718426501,0.577822990844354,0.966,1
hat,rw,sum,-,-,2,sm,1,4,-1,0.8739273773059927,0.7385424033343585,0.9337196331184928,0.9303467226527524,0.9320301263512782,1.003625433812593,0.7231964222666823,0.727994313469968,0.725587436533239,0.9934094386253972,0.5495,0.5667870036101083,0.558009647118558,0.9695,1
transformer,rw,RankQ,PrevQ,-,1,sm,2,16,-1,0.9123430522107133,0.7963376027510783,0.9556271690629649,0.9527045812610052,0.9541636372074317,1.0030676747645018,0.8187595621984229,0.8286088613625536,0.823654768247203,0.98811345180652,0.6115,0.6108891108891109,0.6111944027986007,1.001,2
transformer,rw,RankQ,PrevQ,-,1,sm,2,4,-1,0.9118286609460123,0.7978046579842868,0.9600582548339117,0.9510405795321997,0.9555281418658443,1.0094819038175509,0.7948687772154878,0.8264806656877142,0.8103665486831843,0.9617512063081087,0.6305,0.6245666171371966,0.6275192834038317,1.0095,2
transformer,rw,pure,pure,-,1,sm,1,4,-1,0.8911361032523558,0.7791370034694348,0.9340914724838869,0.9487615270827432,0.941369349676009,0.98453767972236,0.7827468518300577,0.7563971340839304,0.7693464430306536,1.0348358244086149,0.6585,0.5978211529732184,0.6266952177016417,1.1015,1
