Model,InitVec,Encode,Decode,Partial,NumLayer,Scorer,ScorerNumLayer,NumHead,Sampling,f1_micro,f1_macro,recall_0,precision_0,f1_0,labelratio_0,recall_1,precision_1,f1_1,labelratio_1,recall_2,precision_2,f1_2,labelratio_2,searchspace
baseline1,-,-,-,-,0,-,0,-,-,0.47702163822971827,0.21530789885220267,0.0,0,0,0.0,1.0,0.47702163822971827,0.645923696556608,2.096340962039194,0.0,0,0,0.0,1
baseline0,-,-,-,-,0,-,0,-,-,0.3384977446558149,0.3311393496271416,0.341,0.26656243892906,0.299221235055391,1.27925,0.3393175277511306,0.48031037827352085,0.3976871185351751,0.7064547074140057,0.3345,0.2662686567164179,0.29650969529085874,1.25625,1
transformer,onehot,sum,pure,-,2,sm,1,4,-1,0.5852437417654809,0.5249183391684603,0.3485,0.5197613721103654,0.4172403472014367,0.6705,0.8311977715877438,0.6087311301509588,0.7027790861987754,1.365459610027855,0.3805,0.5649591685226429,0.4547355841051688,0.6735,1
transformer,onehot,RankQ,AvgAgg,-,2,sm,1,4,-1,0.5981554677206851,0.5445791664965801,0.3995,0.5218811234487263,0.45256301331067683,0.7655,0.8264623955431755,0.6204516938519448,0.7087912087912087,1.332033426183844,0.387,0.60610806577917,0.47238327738785474,0.6385,1
transformer,onehot,RankQ,PrevQ,-,2,sm,1,4,-1,0.605270092226614,0.5572143760451159,0.38,0.5642167780252413,0.4541380340603526,0.6735,0.8147632311977716,0.6252672082086361,0.7075471698113207,1.3030640668523676,0.4545,0.5808306709265175,0.5099579242636747,0.7825,1
transformer,onehot,pure,AvgAgg,-,2,sm,1,4,-1,0.5523056653491436,0.49264232349122733,0.303,0.4694035631293571,0.3682771194165907,0.6455,0.7874651810584958,0.583849648905411,0.6705407969639469,1.3487465181058496,0.3795,0.5209334248455731,0.4391090540931444,0.7285,1
transformer,onehot,sum,AvgAgg,-,2,sm,1,4,-1,0.6011857707509881,0.54319280536117,0.433,0.5405742821473158,0.4808439755691282,0.801,0.8448467966573816,0.6101388050694025,0.708562083868707,1.3846796657381615,0.332,0.6529006882989183,0.4401723566456745,0.5085,1
transformer,onehot,sum,pure,partial,2,sm,1,4,-1,0.5444005270092227,0.4291505001913593,0.31,0.4036458333333333,0.3506787330316742,0.768,0.8972144846796657,0.583831792640928,0.7073679587130778,1.5367688022284123,0.1455,0.5418994413407822,0.22940480882932598,0.2685,1
gat,onehot,sum,-,-,2,sm,1,4,-1,0.5239789196310936,0.3660294833824147,0.193,0.4584323040380047,0.2716396903589022,0.421,0.9543175487465181,0.5354798374492029,0.6860232278734482,1.7821727019498608,0.0825,0.4714285714285714,0.14042553191489363,0.175,1
transformer,onehot,pure,PrevQ,-,2,gru,1,4,-1,0.2635046113306983,0.13903371567605147,1.0,0.2635046113306983,0.4171011470281544,3.795,0.0,0,0,0.0,0.0,0,0,0.0,1
gat,onehot,-,-,-,2,sm,1,4,-1,0.5088274044795784,0.32383958004716284,0.1345,0.4513422818791946,0.20724191063174113,0.298,0.9727019498607242,0.513604941903221,0.6722494946578111,1.8938718662952647,0.0505,0.517948717948718,0.09202733485193622,0.0975,1
transformer,onehot,pure,pure,-,2,sm,1,4,-1,0.4210803689064559,0.3937971458683395,0.734,0.3146163737676811,0.44044404440444046,2.333,0.3779944289693593,0.6196347031963471,0.4695501730103806,0.6100278551532033,0.1855,0.5054495912806539,0.2713972201901975,0.367,1
hnhn,onehot,-,-,-,2,sm,1,4,-1,0.5050065876152833,0.42955636919403184,0.2275,0.3898886032562125,0.28733817492895486,0.5835,0.7701949860724234,0.5553323960634665,0.6453495156961139,1.386908077994429,0.3065,0.4245152354570637,0.35598141695702673,0.722,1
transformer,onehot,PosEnc,PrevQ,-,2,sm,1,4,-1,0.5903820816864295,0.5256889598881728,0.3475,0.5468135326514555,0.42494649954142455,0.6355,0.8532033426183844,0.6048578199052133,0.7078807487866884,1.4105849582172703,0.3615,0.5760956175298805,0.4442396313364055,0.6275,1
transformer,onehot,sum,PrevQ,-,2,sm,1,4,-1,0.6094861660079052,0.5594469586756651,0.387,0.5789080029917726,0.4638897213065628,0.6685,0.8306406685236769,0.621897810218978,0.7112701252236135,1.3356545961002786,0.435,0.5967078189300411,0.503181029496819,0.729,1
transformer,onehot,PosEnc,AvgAgg,-,2,sm,1,4,-1,0.5878787878787879,0.5282646160129428,0.3105,0.550531914893617,0.39705882352941174,0.564,0.826740947075209,0.6094455852156058,0.7016548463356975,1.3565459610027855,0.4365,0.5483668341708543,0.48608017817371935,0.796,1
transformer,onehot,PosEnc,PrevQ,-,2,gru,1,4,-1,0.2635046113306983,0.13903371567605147,1.0,0.2635046113306983,0.4171011470281544,3.795,0.0,0,0,0.0,0.0,0,0,0.0,1
transformer,onehot,PosEnc,pure,-,2,sm,1,4,-1,0.5778656126482213,0.5099246538721145,0.3235,0.5205148833467418,0.3990132593277829,0.6215,0.8442896935933147,0.6010311322625421,0.702189273717132,1.4047353760445682,0.354,0.5429447852760736,0.42857142857142855,0.652,1
