node	degree
4	8
5	65
6	4
7	4
8	9
12	2
13	2
14	2
15	2
16	3
17	53
18	2
19	1
20	5
23	9
24	20
25	63
26	61
27	17
28	15
29	84
30	30
36	3
37	2
40	1
41	1
42	2
43	3
44	11
45	4
46	1
47	17
50	2
51	1
52	2
53	8
54	1
55	1
56	5
57	1
58	4
63	2
64	1
65	1
66	1
67	1
68	1
69	2
70	2
71	1
72	3
73	1
74	27
75	23
76	11
77	20
78	1
79	14
80	17
81	37
82	42
83	49
84	2
85	23
86	2
87	15
88	2
89	43
90	9
91	3
92	6
93	4
94	9
95	1
96	2
97	7
98	1
99	2
100	3
101	2
102	2
103	1
104	6
106	4
107	8
108	2
109	1
110	1
111	1
112	2
113	9
114	2
115	5
116	1
34	18
32	4
117	3
118	4
119	9
120	2
121	14
122	3
123	2
124	7
125	14
131	6
132	11
133	46
135	4
134	29
138	2
139	2
140	2
141	1
142	3
143	1
144	1
145	1
146	11
147	2
148	4
149	10
150	1
151	1
152	37
153	4
154	1
155	1
156	2
161	2
162	23
163	44
167	2
168	62
169	10
170	1
171	1
172	2
173	9
174	11
177	26
178	3
179	1
180	1
183	1
184	3
185	11
186	1
187	5
188	3
189	11
190	1
191	1
196	2
197	1
198	3
199	1
200	1
201	1
202	7
203	7
204	9
205	8
206	1
207	3
208	1
209	8
210	5
211	1
212	4
213	4
214	10
215	5
216	4
217	2
218	2
219	2
220	7
221	9
222	4
223	3
224	4
225	5
226	1
227	1
228	1
229	10
230	4
231	2
232	3
233	32
234	10
235	16
236	5
237	1
238	2
239	1
240	1
241	8
242	2
243	10
244	2
245	22
246	18
247	1
248	22
249	2
250	44
251	1
252	1
253	4
254	2
255	8
256	8
257	3
258	10
259	8
260	1
261	1
262	1
263	1
264	7
265	1
266	1
267	2
268	2
269	11
270	1
271	4
272	56
273	1
274	6
275	5
276	2
277	2
278	1
279	1
280	2
281	2
282	2
283	4
284	1
285	19
286	27
287	2
288	2
289	19
290	1
291	12
296	22
297	10
298	5
299	4
300	2
301	3
302	2
303	17
304	2
305	2
306	28
307	2
308	2
309	1
310	2
311	18
312	2
313	6
314	2
315	2
316	1
317	8
319	3
320	3
321	3
323	15
324	4
325	91
326	1
327	12
328	36
329	1
330	2
331	3
332	1
333	1
334	3
335	1
336	1
337	1
338	1
339	2
340	15
343	1
344	10
345	6
346	1
347	34
348	2
349	2
350	3
351	65
352	1
353	2
354	3
355	1
356	1
357	12
358	9
359	1
360	4
361	1
362	10
365	5
366	6
368	2
369	12
370	51
371	9
372	9
373	41
374	4
375	4
376	27
377	11
378	15
379	1
380	3
381	4
382	5
385	13
386	28
387	45
388	3
389	21
390	3
391	3
392	1
393	7
394	18
395	14
396	7
397	12
399	4
400	13
401	13
402	7
403	5
405	12
406	47
407	1
408	3
409	3
410	1
411	6
412	4
413	12
415	1
416	1
417	8
419	10
420	17
421	1
422	23
423	50
424	6
425	12
426	77
427	16
428	8
429	3
430	2
431	1
432	18
433	2
434	2
435	38
436	20
437	8
438	5
439	7
440	3
441	7
442	11
443	27
446	2
445	2
447	1
448	4
449	1
450	13
451	5
452	1
453	3
454	8
455	3
456	1
457	2
458	2
459	3
460	2
461	2
462	2
463	3
464	3
465	5
466	2
467	2
468	4
469	3
470	1
471	6
472	5
473	1
474	2
475	1
476	1
477	2
478	2
479	1
480	1
481	1
482	1
483	3
485	1
486	1
487	1
488	1
489	1
490	1
491	2
492	1
493	1
494	3
497	4
498	4
499	2
500	4
501	1
502	4
509	3
510	10
511	4
512	5
513	9
514	34
515	2
517	5
518	1
519	3
520	4
521	2
522	1
523	3
525	12
526	3
527	1
528	1
529	6
530	1
532	14
533	6
534	7
535	4
536	12
537	7
538	7
539	9
540	12
541	3
542	4
548	10
549	1
550	6
551	4
552	10
553	4
554	1
555	15
556	22
557	1
558	19
563	1
564	1
565	1
566	2
567	1
568	9
569	1
570	1
571	1
572	2
573	3
574	25
158	30
575	6
578	1
579	1
580	1
581	1
582	1
583	1
584	1
586	3
587	14
589	2
590	6
591	5
592	8
593	32
594	1
595	1
596	5
597	5
598	16
599	1
600	1
601	1
602	1
603	4
604	1
605	1
608	4
609	23
610	3
504	24
611	1
612	13
613	1
614	7
615	1
616	6
617	8
618	13
619	15
620	7
621	1
622	12
623	2
624	2
625	1
626	12
628	4
629	17
630	1
631	11
632	11
636	1
637	7
638	34
639	11
640	5
607	25
641	55
644	8
645	26
646	24
647	3
648	34
649	1
