node	kcore
4	2
5	3
6	2
7	2
8	2
12	1
13	1
14	1
15	1
16	1
17	3
18	1
19	1
20	1
23	5
24	8
25	8
26	8
27	3
28	3
29	5
30	2
36	1
37	1
40	1
41	1
42	1
43	1
44	3
45	1
46	1
47	2
50	1
51	1
52	1
53	2
54	1
55	1
56	1
57	1
58	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	4
75	4
76	4
77	4
78	1
79	4
80	4
81	4
82	5
83	5
84	1
85	4
86	2
87	2
88	2
89	5
90	2
91	2
92	1
93	1
94	1
95	1
96	1
97	2
98	1
99	1
100	1
101	1
102	1
103	1
104	4
106	1
107	2
108	1
109	1
110	1
111	1
112	2
113	2
114	2
115	2
116	1
34	2
32	2
117	1
118	1
119	2
120	1
121	3
122	1
123	1
124	1
125	2
131	2
132	2
133	4
135	2
134	3
138	1
139	1
140	1
141	1
142	2
143	1
144	1
145	1
146	2
147	1
148	1
149	3
150	1
151	1
152	4
153	1
154	1
155	1
156	1
161	1
162	4
163	4
167	1
168	3
169	2
170	1
171	1
172	1
173	3
174	3
177	3
178	1
179	1
180	1
183	1
184	1
185	2
186	1
187	1
188	1
189	2
190	1
191	1
196	1
197	1
198	1
199	1
200	1
201	1
202	2
203	2
204	2
205	2
206	1
207	1
208	1
209	1
210	2
211	1
212	2
213	2
214	3
215	1
216	1
217	1
218	1
219	1
220	1
221	2
222	2
223	2
224	2
225	2
226	1
227	1
228	1
229	2
230	1
231	1
232	2
233	3
234	2
235	4
236	1
237	1
238	1
239	1
240	1
241	2
242	2
243	2
244	2
245	2
246	2
247	1
248	3
249	1
250	14
251	1
252	1
253	1
254	2
255	2
256	2
257	2
258	2
259	2
260	1
261	1
262	1
263	1
264	2
265	1
266	1
267	1
268	1
269	2
270	1
271	1
272	6
273	1
274	2
275	2
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	3
286	3
287	1
288	1
289	3
290	1
291	5
296	2
297	3
298	2
299	2
300	2
301	2
302	2
303	2
304	2
305	2
306	3
307	1
308	1
309	1
310	1
311	2
312	1
313	2
314	1
315	1
316	1
317	2
319	2
320	2
321	2
323	2
324	1
325	6
326	1
327	4
328	6
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	3
343	1
344	2
345	2
346	1
347	4
348	1
349	1
350	1
351	4
352	1
353	1
354	2
355	1
356	1
357	1
358	2
359	1
360	1
361	1
362	3
365	2
366	2
368	2
369	2
370	3
371	2
372	3
373	6
374	2
375	2
376	6
377	3
378	2
379	1
380	1
381	1
382	2
385	3
386	3
387	3
388	2
389	4
390	2
391	1
392	1
393	2
394	4
395	5
396	2
397	3
399	2
400	2
401	2
402	2
403	2
405	2
406	3
407	1
408	1
409	1
410	1
411	1
412	2
413	3
415	1
416	1
417	2
419	2
420	4
421	1
422	2
423	3
424	2
425	3
426	4
427	3
428	2
429	2
430	1
431	1
432	2
433	1
434	1
435	4
436	2
437	3
438	1
439	3
440	2
441	2
442	3
443	3
446	1
445	1
447	1
448	1
449	1
450	2
451	1
452	1
453	2
454	2
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	1
469	1
470	1
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	1
479	1
480	1
481	1
482	1
483	2
485	1
486	1
487	1
488	1
489	1
490	1
491	1
492	1
493	1
494	2
497	1
498	1
499	1
500	1
501	1
502	1
509	1
510	2
511	2
512	1
513	4
514	5
515	2
517	2
518	1
519	2
520	2
521	1
522	1
523	1
525	4
526	2
527	1
528	1
529	2
530	1
532	3
533	3
534	3
535	3
536	3
537	3
538	3
539	2
540	2
541	1
542	1
548	2
549	1
550	2
551	2
552	3
553	3
554	1
555	3
556	5
557	1
558	3
563	1
564	1
565	1
566	1
567	1
568	2
569	1
570	1
571	1
572	1
573	3
574	6
158	3
575	3
578	1
579	1
580	1
581	1
582	1
583	1
584	1
