node	pagerank
4	1.7755582427930265e-05
5	0.0001441405534289547
6	1.0899258974381136e-05
7	8.155176478916622e-06
8	1.7505801180419004e-05
12	9.315066927033256e-06
13	9.315066927033256e-06
14	9.284584668556163e-06
15	7.604006087790793e-06
16	1.452228459434526e-05
17	0.00010550163943928195
18	7.702553464494738e-06
19	5.2057031587697274e-06
20	1.2792436432900579e-05
23	1.1346500152874846e-05
24	2.0265089125773344e-05
25	7.562787340923435e-05
26	7.943033963136298e-05
27	2.6280746284688204e-05
28	2.2474374407449226e-05
29	0.00011447673905729699
30	5.9792028037012754e-05
36	1.5966034946991104e-05
37	7.64213080168789e-06
40	9.217949190664061e-06
41	9.217949190664061e-06
42	6.781931742758714e-06
43	9.943445114854805e-06
44	2.685233614260711e-05
45	1.8247952038161136e-05
46	4.708585218131189e-06
47	6.309980536463251e-05
50	9.932292578281226e-06
51	6.339683350460118e-06
52	1.1992742062309759e-05
53	2.8510118428210767e-05
54	7.490844718754726e-06
55	7.490844718754726e-06
56	3.2828656102018985e-05
57	2.8157573518005615e-06
58	2.1152995215459864e-05
63	1.2663829842803239e-05
64	8.70294428978774e-06
65	8.70294428978774e-06
66	7.709738655963899e-06
67	7.709738655963899e-06
68	7.709738655963899e-06
69	1.273665288087777e-05
70	1.2227175916230835e-05
71	7.709738655963899e-06
72	1.4882280155286444e-05
73	4.0012081383141175e-06
74	5.209975142237447e-05
75	3.6993676035767585e-05
76	2.6065858801435557e-05
77	4.598937382685103e-05
78	4.001208138314118e-06
79	3.026434035621978e-05
80	2.799018835927068e-05
81	6.949080003470918e-05
82	6.827756900734528e-05
83	7.662068135417953e-05
84	4.848977327128743e-06
85	4.5626907986056324e-05
86	3.371745838504374e-06
87	3.564104926806032e-05
88	4.2419163948997565e-06
89	5.359040035354864e-05
90	1.4240137510945074e-05
91	5.929506984820006e-06
92	2.392003746042096e-05
93	1.7400622050512262e-05
94	2.9619023975081918e-05
95	3.3613139242828874e-06
96	1.3153089403074176e-05
97	2.0818730434741097e-05
98	4.545477834328392e-06
99	5.4330200043835e-06
100	7.166551254086858e-06
101	6.3886240336044134e-06
102	1.3945614743566581e-05
103	3.6759578730565784e-06
104	1.0438753890466094e-05
106	1.4931324720930436e-05
107	2.0906274341887193e-05
108	7.1263490320747e-06
109	5.743443902218108e-06
110	5.743443902218108e-06
111	5.743443902218108e-06
112	5.825884689290326e-06
113	2.1602438720249234e-05
114	6.442438081922786e-06
115	1.5160177700385301e-05
116	3.074595580901546e-06
34	4.992560709748761e-05
32	1.2772200857847379e-05
117	1.2170460279628458e-05
118	1.3678036223464852e-05
119	3.032296172433716e-05
120	8.582768675959962e-06
121	3.9163386297049406e-05
122	1.0225695278272528e-05
123	6.0475655102922416e-06
124	2.1968382141308716e-05
125	4.4475068598669344e-05
131	1.2762791257495017e-05
132	2.574191609768572e-05
133	0.00010174519674259598
135	6.6570391217515815e-06
134	6.047214668909082e-05
138	3.9014096379589876e-06
139	4.462376929165242e-06
140	8.210900601333793e-06
141	6.444701847081562e-06
142	9.481600649046039e-06
143	6.444701847081561e-06
144	6.444701847081562e-06
145	6.4447018470815616e-06
146	3.265619587515259e-05
147	9.958580202260565e-06
148	1.3348760643883286e-05
149	2.7156151302478463e-05
150	4.977637487761358e-06
151	4.977637487761358e-06
152	8.959808738287515e-05
153	1.768370639486442e-05
154	6.123249414104679e-06
155	6.123249414104678e-06
156	1.0760188472567531e-05
161	4.892831328654752e-06
162	4.217568362796135e-05
163	7.790482718930566e-05
167	7.42813059176249e-06
168	0.0001329941314261705
169	3.630592236230932e-05
170	5.004893912282691e-06
171	5.004893912282691e-06
172	5.250651298692647e-06
173	1.4113055879611592e-05
174	1.976319345304287e-05
177	5.248517888908299e-05
178	1.6487960400395448e-05
179	5.630508041069194e-06
180	5.630508041069193e-06
183	6.7463370924654035e-06
184	1.0510579697062521e-05
185	4.699960683130791e-05
186	6.746337092465403e-06
187	1.977486795397892e-05
188	9.513408096193532e-06
189	1.923102781480867e-05
190	9.217949190664061e-06
191	9.217949190664061e-06
196	1.1529608794175748e-05
197	6.519625950795349e-06
198	1.4148655656989263e-05
199	6.519625950795349e-06
200	6.519625950795349e-06
201	4.049617012872309e-06
202	1.9487923623957042e-05
203	2.0418784984866022e-05
204	1.8783446594386587e-05
205	2.2048844410522627e-05
206	5.02815331946687e-06
207	1.1252761979746945e-05
208	5.02815331946687e-06
209	2.7511005332476924e-05
210	1.1950107547037549e-05
211	4.493820796850195e-06
212	1.1324092549460534e-05
213	1.0670242841644015e-05
214	2.1382362525038258e-05
215	1.3194255192958178e-05
216	1.3727649343303146e-05
217	6.3981115188830795e-06
218	4.979846261209195e-06
219	6.2463431919385475e-06
220	2.5956367664924134e-05
221	2.4747224172497204e-05
222	7.1820809892933205e-06
223	7.85215872661738e-06
224	8.86050927715213e-06
225	1.307492178741558e-05
226	6.125053433935131e-06
227	6.125053433935131e-06
228	6.125053433935131e-06
229	3.138886106508698e-05
230	8.738332373614236e-06
231	8.329971995129703e-06
232	7.289527746706682e-06
233	6.46955964032816e-05
234	3.0740187286047084e-05
235	3.481943742475881e-05
236	1.9428635765136636e-05
237	6.9345466277525855e-06
238	1.042186186863889e-05
239	6.9345466277525855e-06
240	6.934546627752586e-06
241	2.4143344362653745e-05
242	4.059611549152254e-06
243	2.6961205494265774e-05
244	4.35121132210249e-06
245	5.207888313852143e-05
246	4.453587412471594e-05
247	2.1156078959060115e-06
248	5.3671842695722354e-05
249	6.674995933681496e-06
250	5.8359715680078014e-05
251	3.0895713635190563e-06
252	3.152229132300609e-06
253	1.8433725131178208e-05
254	7.059149052149242e-06
255	2.902443767335654e-05
256	1.7617706927683906e-05
257	9.97315832497964e-06
258	3.322598480719463e-05
259	2.5592262185282543e-05
260	9.21794919066406e-06
261	9.21794919066406e-06
262	9.21794919066406e-06
263	7.10164145311664e-06
264	2.003769055019808e-05
265	7.10164145311664e-06
266	7.10164145311664e-06
267	1.1326291450148239e-05
268	1.008977169106314e-05
269	2.5567856096912925e-05
270	3.823706486525344e-06
271	1.774535207019724e-05
272	6.958479736012537e-05
273	3.823706486525344e-06
