node	degree
0	7
1	81
2	96
3	19
11	20
40	7
4	59
5	2
6	20
13287	2
63	3
7	68
335	452
8	6
21	495
13312	1
9	23
10	1
16	57
7561	37
13285	2
19	10
13290	1
68	15
12	1
1468	17
13	5
57	14
58	16
273	839
14	6
42	54
15	2
175	63
14141	1
17	3
18	2
13286	1
20	1
13547	1
22	100
23	7
92	22
161	4
24	59
13288	2
25	21
26	47
27	79
28	1
29	1
31	5
1170	152
30	2
32	23
13844	1
13902	1
994	319
33	10
34	142
155	5
76	8
35	3
36	4
37	1
38	1
770	4
115	121
1236	127
39	1
41	312
69	54
43	6
44	1
13369	1
54	18
13363	1
45	38
46	9
13402	1
13323	1
47	3
48	35
13289	1
4781	169
13292	1
409	5
49	1
50	2
51	1
145	6
11417	3
52	10
53	2
55	1
13291	1
191	10
372	6
56	9
159	260
13298	1
59	1
469	5
13293	3
381	95
60	2
61	2
13300	1
13311	1
62	2
64	10
14116	1
65	3
66	10
73	6
67	13
13294	2
13831	2
70	11
1358	355
71	3
72	1
13307	1
13297	1
119	14
4099	63
75	96
4423	4
74	19
13295	1
233	9
77	4
13296	1
701	8
186	84
4212	3
78	1
79	4
13301	1
80	30
81	2
2346	25
82	1
13596	1
83	2
84	2
13771	2
7079	77
85	1
86	1
572	4
537	134
3492	4
863	374
15459	1
87	37
140	172
88	12
508	52
13462	2
13566	1
13606	1
89	1
468	311
152	50
2048	2
2185	30
90	1
91	2
14148	3
93	2
108	18
13494	2
974	283
114	36
13345	1
1110	17
14467	1
94	35
95	1
13299	3
96	4
13308	1
97	56
98	2
99	3
13313	1
13344	1
13534	2
100	1
101	4
102	1
260	8
10089	85
103	8
104	116
105	5
106	7
209	8
107	1
109	1
13491	4
110	1
111	19
321	76
13302	2
656	24
112	9
113	1
13712	1
116	4
125	3
440	11
673	15
13515	1
154	13
13823	4
117	1
13310	3
118	1
13371	1
120	2
121	1
356	6
3296	3
13461	1
13725	1
122	11
13421	1
123	1
124	62
709	78
428	181
547	23
13304	1
13704	2
13303	1
126	1
4645	2
127	2
1620	25
128	2
14139	1
129	1
13321	2
130	12
134	3
131	2
13305	1
132	1
13306	1
3192	15
13326	1
133	11
13309	1
135	54
13317	2
151	228
310	7
3844	15
371	16
136	3
137	5
626	5
13732	1
13339	1
13505	1
13319	1
138	2
153	3
13376	1
139	1
141	2
142	3
13970	1
143	1
144	2
15081	2
146	1
13584	1
13538	1
13539	1
147	4
148	2
2548	16
14203	1
149	4
13420	1
150	2
287	136
15059	3
14666	1
13314	1
9212	7
522	3
156	1
157	1
13859	1
6814	2
158	2
8546	6
160	1
2339	14
162	1
501	9
13370	1
523	23
13468	1
163	2
13374	1
15405	1
164	6
165	1
166	4
167	1
168	1
13851	1
169	9
13865	1
14685	1
170	2
9515	6
171	1
172	24
352	253
7347	15
