node	kcore
0	4
1	19
2	16
3	6
11	10
40	5
4	16
5	1
6	8
13287	1
63	2
7	15
335	41
8	3
21	32
13312	1
9	6
10	1
16	16
7561	15
13285	1
19	3
13290	1
68	7
12	1
1468	9
13	3
57	4
58	8
273	45
14	5
42	11
15	1
175	15
14141	1
17	2
18	1
13286	1
20	1
13547	1
22	16
23	5
92	8
161	2
24	9
13288	2
25	8
26	14
27	13
28	1
29	1
31	4
1170	25
30	2
32	6
13844	1
13902	1
994	25
33	5
34	17
155	3
76	5
35	2
36	3
37	1
38	1
770	3
115	27
1236	23
39	1
41	117
69	15
43	4
44	1
13369	1
54	7
13363	1
45	15
46	6
13402	1
13323	1
47	2
48	9
13289	1
4781	15
13292	1
409	4
49	1
50	1
51	1
145	4
11417	3
52	8
53	1
55	1
13291	1
191	6
372	4
56	4
159	32
13298	1
59	1
469	3
13293	2
381	20
60	2
61	1
13300	1
13311	1
62	2
64	5
14116	1
65	3
66	4
73	3
67	8
13294	2
13831	2
70	5
1358	20
71	2
72	1
13307	1
13297	1
119	8
4099	15
75	20
4423	3
74	9
13295	1
233	5
77	1
13296	1
701	4
186	15
4212	2
78	1
79	3
13301	1
80	11
81	1
2346	7
82	1
13596	1
83	1
84	2
13771	2
7079	10
85	1
86	1
572	3
537	22
3492	2
863	32
15459	1
87	8
140	19
88	8
508	17
13462	1
13566	1
13606	1
89	1
468	25
152	15
2048	2
2185	6
90	1
91	2
14148	2
93	2
108	8
13494	2
974	45
114	11
13345	1
1110	4
14467	1
94	16
95	1
13299	1
96	3
13308	1
97	16
98	1
99	1
13313	1
13344	1
13534	1
100	1
101	3
102	1
260	2
10089	10
103	5
104	11
105	2
106	6
209	6
107	1
109	1
13491	1
110	1
111	6
321	15
13302	2
656	9
112	4
113	1
13712	1
116	2
125	2
440	4
673	8
13515	1
154	6
13823	2
117	1
13310	1
118	1
13371	1
120	2
121	1
356	3
3296	2
13461	1
13725	1
122	6
13421	1
123	1
124	19
709	9
428	17
547	8
13304	1
13704	1
13303	1
126	1
4645	2
127	2
1620	5
128	1
14139	1
129	1
13321	1
130	8
134	3
131	1
13305	1
132	1
13306	1
3192	10
13326	1
133	7
13309	1
135	13
13317	2
151	36
310	5
3844	8
371	5
136	3
137	3
626	5
13732	1
13339	1
13505	1
13319	1
138	2
153	2
13376	1
139	1
141	2
142	2
13970	1
143	1
144	2
15081	2
146	1
13584	1
13538	1
13539	1
147	3
148	2
2548	8
14203	1
149	2
13420	1
150	2
287	16
