hedge	ve
0	1.5106426788707503e-05
1	4.498398251758697e-05
2	3.926498937217487e-06
3	2.586945940248509e-06
4	0.00028428861301442216
5	0.0007509302181926273
6	1.3056383033842012e-05
7	4.552059066718146e-06
8	4.8632535883354846e-05
9	0.0024964266449513184
10	7.668773989996241e-09
11	1.8709924285919374e-05
12	0.0007731397947479094
13	1.085180124821933e-05
14	6.329685461130085e-07
15	0.0007508893066620295
16	4.176378905608982e-05
17	1.695252185105451e-05
18	0.0007404614811800691
19	9.057425329946769e-06
20	0.000740504342044429
21	1.5687903701682914e-05
22	1.8062977998501785e-05
23	8.587973586119551e-06
24	8.9781362817544e-06
25	1.1968732972732396e-05
26	3.976924182322668e-05
27	4.531542777377565e-05
28	3.2471038751374764e-05
29	5.9900550696707756e-06
30	0.00025060099058546513
31	7.109347830117288e-06
32	6.348226040285754e-06
33	4.876952426952252e-06
34	0.00017569497880568887
35	0.00015879453705593921
36	5.736838680520366e-07
37	3.03429926152804e-07
38	4.029613039409939e-06
39	0.0007408708356101977
40	3.926498937217487e-06
41	0.00015839396554455804
42	3.503378770014315e-05
43	0.0009383004047913202
44	3.976924182322668e-05
45	0.0007395865473460219
46	0.0001660749797222934
47	7.10922368602073e-05
48	1.085180124821933e-05
49	4.9444516131247865e-05
50	4.414799812297193e-05
51	1.3213806763356022e-06
52	1.2611708056429865e-05
53	0.00015839396554455804
54	9.49303476523381e-06
55	5.965058778376321e-07
56	7.879358687025007e-05
57	4.055533670030066e-05
58	4.852036425454993e-05
59	2.9486368269691013e-05
60	5.287092442455699e-07
61	5.287092442455699e-07
62	4.948930421839272e-05
63	4.9483995439078145e-05
64	0.00013780525434933935
65	3.2557507843535196e-05
66	7.4685742430851435e-06
67	3.993924559290029e-06
68	8.752298674975211e-06
69	6.329689235751101e-07
70	0.00015839396554455804
71	1.3187411943269033e-05
72	3.44147944137451e-05
73	6.577104544309197e-05
74	7.004041688369412e-06
75	1.9750596688167246e-06
76	3.2004799684537435e-05
