node	degree
0	53
1	4
32	30
40027	2
3024	110
39871	257
16250	602
2	40
3	3
66912	2
90	1351
75167	4
4	23
5	6
11	41
68318	1
6	64
31	42
12	57
26	77
53	72
3840	19
7	6
63	21
49	543
404	677
29323	106
40252	871
8	1
68204	1
37971	6
9	2194
10	6
108	13
66934	1
66967	1
351	10
393	8
326	137
369	64
5462	14
9227	126
66949	1
2789	45
68929	5
73963	2
117	13
66	11
13	45
14	5
15	5
66914	3
66922	1
97	18
155	1638
801	476
70420	4
71452	3
50439	22
16	1
1079	17
802	59
38774	23
17	16
3050	5
111	10
324	293
445	191
67317	1
19349	13
18	25
19	2
67483	1
8185	12
20	1
178	4
348	107
46	4
19625	5
21	1
69	278
18106	9
24036	6
22	133
23	5
48	3
24	40
556	33
25	90
8323	20
28	101
27	16
35	7
65	80
9490	6
33353	26
11110	72
29	2
13206	4
76304	1
633	1996
30	67
74	3
129	68
2378	32
3909	39
1826	63
76	74
75095	3
39	137
88	48
120	217
380	250
33	1
67011	1
3751	248
34	843
4447	396
55268	8
60051	2
36	99
37	2
28827	66
38	2
66913	1
104	864
1853	16
67	8
226	36
67036	7
1172	23
17266	186
40	26
67264	1
67289	1
2115	14
893	667
10426	1537
41	11
42	4
227	123
43	1537
54	9
382	221
132	135
44	4
299	5
67339	1
45	56
109	216
1352	5
2982	5
74468	1
66915	1
303	13
47	360
319	85
2685	5
4284	192
12905	21
48955	6
432	6332
50	17
51	2
52	1
118	18
271	18
3697	14
10844	235
216	2607
2623	513
8840	348
94	51
26669	6
37834	4
290	26
167	37
61	70
11955	6
3306	336
122	42
67917	1
30038	33
75412	17
113	11
256	76
67005	1
320	418
67083	1
69848	2
20795	303
55	5
56	55
1505	106
1098	9
1740	13
67584	1
96	83
484	104
72005	1
72167	1
192	36
427	3
57	50
58	21
66916	2
70602	1
14540	11
13115	33
57267	6
6360	156
10910	4
75145	1
964	1627
8025	15
8893	4
70725	16
8153	21
17612	45
8916	9
34314	5
74750	5
36735	117
48016	16
59	3
60	1
600	28
1454	19
62	1
11794	12
19342	589
23413	816
67378	7
2711	6
27991	156
2201	9
8595	27
66917	1
194	11
66919	3
1280	88
119	83
66947	1
513	11
670	144
519	3
64	23
9965	211
67159	1
2415	2
1187	72
3454	100
67806	1
375	248
70187	1
70745	1
13950	189
12430	160
28131	8
30002	88
53741	16
9766	5
67418	1
98	30
305	75
9301	13
74630	3
25244	19
78515	1
67068	1
20897	1485
67899	1
8985	2
68611	1
5634	27
24695	2
10861	63
1803	549
280	26
784	19
68597	1
68630	1
7108	22
5079	26
66926	2
32137	33
223	68
596	19
67877	1
68	5
420	19
870	2
1314	160
67172	1
66918	1
70	19
71	3
69679	1
410	33
67508	1
13375	32
