node	kcore
0	12
1	2
32	10
40027	2
3024	33
39871	31
16250	47
2	10
3	2
66912	1
90	51
75167	2
4	6
5	5
11	9
68318	1
6	10
31	15
12	9
26	17
53	10
3840	5
7	4
63	6
49	37
404	43
29323	41
40252	43
8	1
68204	1
37971	3
9	103
10	3
108	7
66934	1
66967	1
351	5
393	5
326	19
369	19
5462	7
9227	16
66949	1
2789	16
68929	3
73963	1
117	4
66	3
13	9
14	1
15	2
66914	1
66922	1
97	5
155	42
801	25
70420	1
71452	1
50439	6
16	1
1079	6
802	14
38774	14
17	7
3050	3
111	6
324	50
445	19
67317	1
19349	6
18	8
19	1
67483	1
8185	7
20	1
178	2
348	23
46	3
19625	4
21	1
69	28
18106	5
24036	4
22	21
23	3
48	3
24	14
556	10
25	23
8323	6
28	16
27	5
35	3
65	21
9490	4
33353	11
11110	17
29	2
13206	2
76304	1
633	76
30	11
74	2
129	13
2378	11
3909	17
1826	14
76	22
75095	1
39	16
88	14
120	19
380	25
33	1
67011	1
3751	23
34	38
4447	38
55268	5
60051	2
36	18
37	1
28827	17
38	2
66913	1
104	44
1853	7
67	4
226	14
67036	3
1172	5
17266	44
40	9
67264	1
67289	1
2115	5
893	49
10426	103
41	4
42	4
227	36
43	65
54	4
382	23
132	20
44	3
299	3
67339	1
45	18
109	23
1352	3
2982	4
74468	1
66915	1
303	6
47	32
319	11
2685	3
4284	18
12905	9
48955	5
432	114
50	8
51	2
52	1
118	6
271	7
3697	5
10844	38
216	103
2623	47
8840	65
94	14
26669	4
37834	4
290	11
167	10
61	11
11955	3
3306	29
122	15
67917	1
30038	6
75412	4
113	6
256	12
67005	1
320	80
67083	1
69848	1
20795	34
55	3
56	15
1505	17
1098	3
1740	9
67584	1
96	14
484	23
72005	1
72167	1
192	10
427	3
57	13
58	10
66916	1
70602	1
14540	8
13115	9
57267	4
6360	30
10910	3
75145	1
964	58
8025	4
8893	3
70725	7
8153	14
17612	10
8916	3
34314	3
74750	3
36735	37
48016	8
59	2
60	1
600	11
1454	11
62	1
11794	10
19342	89
23413	103
67378	6
2711	6
27991	22
2201	4
8595	10
66917	1
194	6
66919	2
1280	23
119	14
66947	1
513	3
670	19
519	2
64	12
9965	31
67159	1
2415	1
1187	30
3454	27
67806	1
375	24
70187	1
70745	1
13950	42
12430	35
28131	5
30002	32
53741	6
9766	4
67418	1
98	9
305	19
9301	7
74630	2
25244	11
78515	1
67068	1
20897	57
67899	1
8985	1
68611	1
5634	14
24695	1
10861	26
1803	43
280	8
784	7
68597	1
68630	1
7108	10
5079	18
66926	2
32137	14
223	13
596	8
67877	1
68	2
420	8
870	1
1314	51
67172	1
66918	1
70	11
71	2
69679	1
410	12
67508	1
13375	12
928	20
25037	44
61593	18
72	1
73	6
66920	1
75	1
77	1
115	11
78	2
79	1
80	6
147	2
67758	1
71798	1
81	1
5835	6
82	6
83	16
144	3
84	4
1498	4
85	1
474	5
66921	1
67485	1
13249	19
32228	15
86	12
87	5
89	1
66923	1
66925	1
1809	9
151	2
1876	9
75067	1
17169	21
75841	1
76863	1
91	1
615	2
67365	1
68350	1
68519	1
11431	3
4063	41
32716	35
68811	1
23367	37
92	8
1616	6
93	1
2793	14
95	1
66924	1
72442	1
74617	1
75163	1
40898	2
14054	14
99	1
100	14
101	1
67015	1
20011	8
102	1
103	1
105	2
14552	43
106	3
66929	1
107	1
73232	1
73988	1
218	14
2502	2
12405	42
652	1
347	3
672	6
499	3
66986	1
4763	2
17487	6
110	1
112	1
329	23
114	2
116	3
1106	15
1575	2
69832	2
5114	30
160	6
73089	1
66928	1
66930	1
580	29
1688	3
1998	4
76962	1
78257	1
6893	5
121	90
413	21
66975	1
123	3
66956	1
635	10
1482	31
2383	42
11648	36
124	10
66932	1
1418	4
67119	1
125	8
126	1
127	1
260	28
66927	1
67415	1
68085	1
11759	1
45035	5
128	1
130	2
67014	1
131	8
67859	1
47712	30
133	9
67309	1
134	3
59983	3
33507	6
135	2
136	12
1686	15
137	1
75787	1
138	3
66931	1
41536	4
139	1
75341	1
140	1
368	7
395	14
609	2
67361	1
2226	2
1209	18
3144	11
1758	23
2760	11
3913	1
2409	20
5133	3
5149	9
10942	21
9790	89
562	7
141	15
439	1
384	4
724	11
6646	28
142	1
421	30
143	1
145	4
68532	1
146	1
148	1
701	14
70571	1
80168	1
78715	2
149	1
343	19
602	19
475	11
5044	10
2728	77
17868	22
63353	10
80897	1
150	1
74591	3
79999	1
152	14
66952	1
46326	14
153	1
182	6
66933	2
191	30
66944	1
220	2
249	5
3039	13
228	2
231	2
327	2
3034	5
1095	4
437	39
67209	2
3416	10
3407	16
154	4
826	11
695	19
447	4
36608	22
69766	1
156	29
969	2
2377	49
157	1
208	14
67224	1
67450	1
158	1
69033	1
69122	1
1435	36
159	1
23270	10
161	9
162	14
163	1
67035	1
71930	4
73116	1
7993	54
14798	3
164	12
165	1
358	15
166	2
1243	2
68749	1
2403	11
8168	18
16807	13
27975	17
65199	3
168	9
169	2
76527	2
170	4
171	1
172	1
608	3
14313	12
173	3
174	2
71656	1
66942	2
67262	1
67507	1
175	18
176	15
67374	1
34187	7
12341	40
177	1
15765	14
71907	1
179	1
70461	1
66954	1
180	3
181	19
3239	4
190	9
66935	1
1465	3
183	3
66938	1
70672	1
8477	42
67267	1
4312	17
76180	1
66936	1
66937	2
67370	1
67711	1
184	2
185	1
68928	1
66939	1
186	2
67148	1
67814	1
2706	10
16074	2
187	1
67664	1
188	5
66940	1
66945	1
67372	1
28041	3
17768	17
23358	7
189	1
69345	1
285	7
66955	2
933	30
70227	1
5420	15
27343	5
387	17
29320	2
44008	7
73074	1
34753	2
74215	1
193	2
2054	5
39811	3
73695	1
195	3
196	1
66941	1
197	1
69743	1
68153	1
69319	1
45072	5
70788	1
198	26
68084	1
68344	1
199	2
1369	54
200	2
201	1
202	62
203	2
73469	1
75752	1
204	2
205	14
41679	8
206	1
207	1
66943	1
33371	18
67045	1
78098	1
25529	3
209	2
222	5
374	18
496	22
210	1
832	1
2065	4
12643	22
67666	1
41575	7
211	16
212	2
213	4
68840	1
606	14
70635	1
75771	1
1560	18
214	1
7905	2
215	3
66948	1
25597	3
67629	1
68487	1
5959	19
68995	1
68997	1
37386	76
11370	16
66946	2
67404	1
28390	7
74877	1
36571	28
55121	2
217	8
219	8
237	8
68645	1
69187	1
18320	2
2022	30
68274	1
70382	1
17907	56
221	3
10194	13
12822	22
515	13
246	10
33370	21
68678	1
390	6
245	8
66953	1
29139	22
224	1
67178	1
72729	1
225	3
1968	2
3029	6
229	5
80490	1
232	2
1130	5
230	5
53140	2
68304	1
22752	3
67489	1
69257	1
4881	55
233	1
6193	3
234	1
235	2
236	1
238	8
67410	1
67487	1
5414	1
239	1
671	8
67569	1
