node	degree
0	25
1	441
2	1753
3	769
4	51
5	806
6	27
7	258
8	93
9	38
10	303
11	97
12	100
13	41
14	136
15	1409
16	88
17	46
18	8
19	241
20	376
21	2834
22	221
23	425
24	767
25	3574
26	1835
27	1151
28	62
29	50
30	1355
31	4879
32	4288
33	2698
34	5
35	36
36	85
37	15
38	83
39	15
40	46
41	9
42	42
43	103
44	47
45	19
46	49
47	10
48	93
49	40
50	54
51	460
52	234
53	89
54	261
55	176
56	49
57	20
58	182
59	167
60	36
61	77
62	439
63	23
64	804
65	701
66	448
67	474
68	128
69	296
70	117
71	781
72	729
73	591
74	1009
75	59
76	578
77	3793
78	539
79	166
80	43
81	1085
82	496
83	684
84	119
85	435
86	127
87	409
88	19
89	18
90	85
91	119
92	179
93	336
94	2455
95	332
96	245
97	335
98	42
99	343
100	157
101	235
102	797
103	99
104	582
105	1013
106	234
107	269
108	601
109	772
110	289
111	1472
112	74
113	913
114	2441
115	349
116	606
117	522
118	570
119	1046
120	303
121	900
122	140
123	920
124	223
125	176
126	95
127	91
128	201
129	52
130	71
131	98
132	458
133	83
134	241
135	715
136	695
137	150
138	264
139	155
140	360
141	2094
142	1050
143	1644
144	425
145	1730
146	764
147	513
148	259
149	1067
150	176
151	1133
152	1101
153	2923
154	914
155	182
156	274
157	264
158	273
159	191
160	326
161	217
162	760
163	183
164	990
165	205
166	605
167	166
168	95
169	105
170	353
171	37
172	655
173	120
174	413
175	290
176	336
177	133
178	161
179	607
180	134
181	60
182	56
183	271
184	33
185	33
186	33
187	33
188	645
189	132
190	54
191	776
192	162
193	121
194	1120
195	775
196	796
197	41
198	87
199	112
200	34
201	551
202	37
203	408
204	58
205	221
206	113
207	520
208	88
209	486
210	171
211	88
212	48
213	208
214	310
215	68
216	75
217	37
218	208
219	628
220	25
221	937
222	33
223	155
224	77
225	108
226	33
227	33
228	282
229	641
230	57
231	968
232	41
233	240
234	47
235	40
236	49
237	231
238	88
239	270
240	33
241	123
242	40
243	138
244	40
245	96
246	255
247	92
248	117
249	169
250	87
251	23
252	22
253	244
254	277
255	456
256	1003
257	701
258	420
259	890
260	553
261	192
262	605
263	614
264	1138
265	232
266	2992
267	48
268	152
269	68
270	394
271	552
272	157
273	184
274	225
275	548
276	183
277	105
278	724
279	420
280	75
281	63
282	101
283	376
284	111
285	372
286	848
287	445
288	388
289	862
290	468
291	493
292	840
293	86
294	51
295	13
296	306
297	386
298	61
299	598
300	341
301	280
302	287
303	396
304	377
305	876
306	824
307	203
308	1273
309	79
310	46
311	496
312	235
313	26
314	26
315	405
316	26
317	26
318	26
319	26
320	26
321	52
322	181
323	159
324	57
325	141
326	78
327	19
328	292
329	334
330	16
331	105
332	65
333	306
334	16
335	295
336	75
337	328
338	181
339	48
340	99
341	182
342	27
343	86
344	476
345	83
346	19
347	99
348	144
349	23
350	97
351	157
352	13
353	17
354	72
355	26
356	464
357	20
358	17
359	4
360	46
361	269
362	27
363	657
364	116
365	827
366	197
367	360
368	315
369	539
370	188
371	201
372	535
373	41
374	14
375	2695
376	503
377	943
378	228
379	159
380	1639
381	284
382	195
383	256
384	1250
385	1063
386	52
387	1354
388	66
389	123
390	668
391	335
392	40
393	1051
394	68
395	13
396	1821
397	19
398	555
399	691
400	561
401	164
402	854
403	163
404	843
405	263
406	67
407	106
408	13
409	505
410	243
411	1411
412	2650
413	652
414	816
415	655
416	56
417	288
418	551
419	464
420	1441
421	427
422	155
423	98
424	885
425	668
426	17
427	767
428	13
429	247
430	971
431	140
432	276
433	1514
434	42
435	437
436	63
437	309
438	33
439	365
440	281
441	2684
442	146
443	12
444	163
445	107
446	25
447	328
448	127
449	202
450	32
451	181
452	368
453	122
454	347
455	264
456	47
457	31
458	169
459	891
460	264
461	362
462	87
463	60
464	396
465	18
466	584
467	125
468	251
469	104
470	124
471	250
472	74
473	26
474	99
475	95
476	25
477	64
478	22
479	112
480	62
481	171
482	28
483	62
484	29
485	320
486	16
487	410
488	918
489	309
490	770
491	1007
492	260
493	524
494	234
495	270
496	1746
497	475
498	385
499	1442
500	172
501	756
502	543
503	1220
504	51
505	224
506	700
507	403
508	347
509	246
510	474
511	498
512	324
513	914
514	1029
515	804
516	269
517	417
518	405
519	967
520	78
521	659
522	705
523	192
524	952
525	335
526	59
527	100
528	6
529	9
530	118
531	27
532	161
533	5
534	817
535	31
536	215
537	1743
538	1093
539	8023
540	20
541	10
542	3
543	46
544	10
545	40
546	57
547	27
548	8
549	2
550	22
551	47
552	17
553	24
554	29
555	93
556	9
557	82
558	14
559	6
560	46
561	4
562	138
563	35
564	2
565	9
566	34
567	6
568	6
569	10
570	80
571	9
572	46
573	61
574	65
575	11
576	2
577	7
578	849
579	105
580	2
581	14
582	11
583	13
584	2
585	48
586	89
587	30
588	64
589	705
590	319
591	409
592	26
593	19
594	166
595	57
596	32
597	93
598	484
599	43
600	47
601	32
602	22
603	369
604	450
605	641
606	8
607	20
608	33
609	39
610	68
611	128
612	268
613	322
614	335
615	266
616	354
617	306
618	469
619	284
620	297
621	793
622	377
623	342
624	279
625	299
626	868
627	1080
628	64
629	270
630	151
631	189
632	97
633	540
634	266
635	171
636	1526
637	394
638	405
639	329
640	70
641	46
642	173
643	400
644	1449
645	30
646	110
647	235
648	84
649	2
650	75
651	17
652	8
653	10
654	5
655	123
656	799
657	2
658	4
659	20
660	2
661	4
662	4
663	16
664	155
665	31
666	24
667	8
668	11
669	15
670	169
671	494
672	4
673	81
674	178
675	121
676	28
677	220
678	5
679	253
680	11
681	5
682	40
683	17
684	15
685	583
686	646
687	5
688	35
689	32
690	5
691	40
692	117
693	5
694	64
695	101
696	103
697	97
698	6
699	39
700	540
701	797
702	97
703	4
704	847
705	236
706	392
707	209
708	14
709	183
710	542
711	475
712	163
713	1876
714	573
715	160
716	182
717	241
718	221
719	539
720	1182
721	533
722	314
723	180
724	1697
725	52
726	89
727	2294
728	272
729	824
730	444
731	137
732	2
733	4
734	165
735	223
736	13
737	5
738	24
739	11
740	131
741	2
742	4
743	71
744	7
745	2
746	45
747	4
748	17
749	27
750	4
751	1821
752	27
753	7
754	35
755	98
756	39
757	2
758	3
759	7
760	2
761	11
762	179
763	103
764	16
765	8
766	8
767	55
768	383
769	1
770	8
771	66
772	55
773	202
774	23
775	24
776	32
777	25
778	145
779	41
780	25
781	23
782	210
783	27
784	54
785	61
786	51
787	27
788	26
789	481
790	56
791	106
792	63
793	23
794	23
795	23
796	23
797	23
798	226
799	23
800	67
801	26
802	91
803	110
804	24
805	23
806	23
807	76
808	154
809	24
810	35
811	256
812	650
813	23
814	40
815	164
816	28
817	27
818	23
819	29
820	133
821	185
822	25
823	25
824	23
825	24
826	33
827	23
828	23
829	76
830	57
831	199
832	23
833	30
834	23
835	155
836	651
837	62
838	57
839	35
840	93
841	409
842	23
843	99
844	124
845	47
846	50
847	77
848	34
849	23
850	72
851	282
852	665
853	113
854	29
855	23
856	23
857	23
858	23
859	23
860	24
861	23
862	37
863	23
864	41
865	24
866	23
867	26
868	38
869	28
870	26
871	23
872	24
873	38
874	130
875	23
876	61
877	54
878	69
879	23
880	157
881	23
882	45
883	75
884	97
885	79
886	182
887	103
888	42
889	52
890	36
891	92
892	43
893	58
894	70
895	31
896	188
897	188
898	51
899	182
900	27
901	127
902	28
903	30
904	23
905	23
906	23
907	103
908	27
909	58
910	261
911	55
912	80
913	64
914	118
915	83
916	25
917	23
918	25
919	36
920	27
921	81
922	23
923	25
924	58
925	23
926	27
927	101
928	23
929	260
930	399
931	23
932	120
933	25
934	25
935	23
936	37
937	25
938	44
939	31
940	264
941	87
942	57
943	75
944	46
945	108
946	199
947	23
948	89
949	23
950	47
951	23
952	212
953	26
954	236
955	43
956	37
957	27
958	64
959	328
960	23
961	60
962	88
963	23
964	48
965	511
966	25
967	243
968	53
969	23
970	23
971	24
972	58
973	25
974	96
975	31
976	110
977	41
978	242
979	94
980	34
981	29
982	23
983	23
984	23
985	26
986	216
987	26
988	23
989	426
990	29
991	23
992	313
993	72
994	24
995	23
996	33
997	44
998	77
999	72
1000	32
1001	29
1002	35
1003	36
1004	142
1005	23
1006	92
1007	140
1008	315
1009	23
1010	23
1011	23
1012	23
1013	23
1014	23
1015	23
1016	23
1017	23
1018	23
1019	23
1020	125
1021	23
1022	30
1023	57
1024	193
1025	170
1026	23
1027	525
1028	844
1029	477
1030	95
1031	296
1032	45
1033	65
1034	26
1035	64
1036	26
1037	138
1038	28
1039	35
1040	57
1041	126
1042	23
1043	23
1044	65
1045	25
1046	469
1047	25
1048	27
1049	41
1050	23
1051	23
1052	40
1053	24
1054	37
1055	125
1056	34
1057	23
1058	27
1059	23
1060	386
1061	118
1062	176
1063	31
1064	23
1065	25
1066	72
1067	24
1068	145
1069	30
1070	390
1071	412
1072	27
1073	35
1074	49
1075	32
1076	31
1077	23
1078	46
1079	89
1080	294
1081	84
1082	48
1083	26
1084	71
1085	77
1086	25
1087	89
1088	23
1089	23
1090	23
1091	23
1092	23
1093	23
1094	23
1095	29
1096	111
1097	48
1098	30
1099	247
1100	41
1101	167
1102	54
1103	51
1104	76
1105	100
1106	40
1107	1180
1108	608
1109	89
1110	26
1111	26
1112	23
1113	99
1114	522
1115	115
1116	23
1117	27
1118	27
1119	66
1120	23
1121	254
1122	23
1123	23
1124	27
1125	23
1126	45
1127	299
1128	87
1129	26
1130	23
1131	41
