node	kcore
0	19
1	79
2	79
3	40
4	20
5	46
6	16
7	29
8	24
9	24
10	43
11	28
12	24
13	22
14	16
15	50
16	26
17	26
18	8
19	24
20	23
21	57
22	38
23	57
24	41
25	79
26	57
27	57
28	32
29	32
30	57
31	79
32	129
33	57
34	3
35	8
36	13
37	6
38	12
39	4
40	32
41	3
42	11
43	16
44	13
45	4
46	6
47	3
48	26
49	6
50	12
51	42
52	32
53	12
54	32
55	15
56	13
57	11
58	34
59	26
60	6
61	13
62	41
63	6
64	40
65	60
66	26
67	28
68	16
69	18
70	57
71	40
72	32
73	40
74	41
75	11
76	48
77	79
78	37
79	36
80	10
81	37
82	27
83	28
84	23
85	23
86	10
87	40
88	6
89	8
90	16
91	16
92	16
93	42
94	57
95	41
96	22
97	40
98	13
99	38
100	40
101	40
102	52
103	10
104	32
105	41
106	32
107	40
108	32
109	41
110	32
111	79
112	32
113	57
114	57
115	32
116	32
117	32
118	32
119	32
120	32
121	37
122	32
123	42
124	32
125	32
126	51
127	51
128	51
129	51
130	51
131	51
132	51
133	51
134	51
135	129
136	51
137	51
138	51
139	51
140	51
141	62
142	40
143	129
144	17
145	42
146	32
147	32
148	23
149	32
150	18
151	79
152	37
153	129
154	28
155	17
156	20
157	18
158	20
159	17
160	23
161	26
162	40
163	17
164	129
165	18
166	79
167	17
168	17
169	17
170	40
171	17
172	23
173	17
174	23
175	23
176	23
177	22
178	26
179	28
180	17
181	17
182	17
183	17
184	17
185	17
186	17
187	17
188	36
189	18
190	17
191	32
192	18
193	17
194	129
195	79
196	32
197	17
198	29
199	23
200	17
201	40
202	17
203	28
204	17
205	28
206	17
207	28
208	17
209	28
210	17
211	17
212	17
213	37
214	17
215	17
216	17
217	17
218	17
219	23
220	17
221	60
222	17
223	17
224	17
225	17
226	17
227	17
228	28
229	24
230	17
231	66
232	17
233	28
234	17
235	17
236	17
237	28
238	17
239	57
240	17
241	17
242	17
243	17
244	17
245	17
246	57
247	17
248	26
249	17
250	17
251	17
252	17
253	24
254	23
255	26
256	40
257	79
258	26
259	30
260	32
261	32
262	40
263	32
264	79
265	24
266	129
267	27
268	32
269	27
270	32
271	79
272	26
273	26
274	32
275	32
276	26
277	26
278	41
279	32
280	26
281	17
282	16
283	28
284	16
285	40
286	129
287	32
288	32
289	32
290	26
291	26
292	42
293	14
294	7
295	7
296	26
297	26
298	19
299	42
300	26
301	26
302	32
303	32
304	32
305	42
306	42
307	24
308	129
309	24
310	24
311	32
312	26
313	24
314	24
315	42
316	24
317	24
318	24
319	24
320	24
321	24
322	24
323	24
324	24
325	25
326	32
327	13
328	24
329	40
330	7
331	14
332	8
333	23
334	7
335	32
336	20
337	32
338	24
339	13
340	13
341	26
342	13
343	13
344	25
345	26
346	13
347	26
348	26
349	13
350	17
351	26
352	13
353	13
354	26
355	13
356	42
357	16
358	7
359	2
360	14
361	40
362	6
363	32
364	32
365	62
366	17
367	41
368	41
369	31
370	41
371	25
372	26
373	21
374	10
375	129
376	41
377	38
378	16
379	12
380	57
381	22
382	16
383	22
384	41
385	28
386	10
387	40
388	13
