node	degree
582	768
364	413
168	8659
472	3807
912	5429
2	1637
790	3574
322	862
42	254
402	262
870	545
337	766
663	951
362	973
410	688
565	808
550	654
987	2109
433	948
343	1302
581	1742
135	3834
942	741
978	1395
988	525
421	1074
795	1091
547	895
851	1793
469	1117
188	1114
614	609
301	448
954	434
817	535
167	1067
141	553
552	347
424	1135
35	534
207	2320
569	988
749	512
174	43
534	1416
844	1092
684	1407
31	1621
165	3436
429	2122
401	2666
862	1577
418	3838
969	238
294	1693
885	868
256	1029
648	1472
416	3789
313	1615
921	631
1001	1904
159	2913
356	5308
700	1283
184	484
947	5212
774	4971
703	554
771	1105
713	922
291	972
34	88
955	1002
540	3006
67	2014
344	1169
544	209
8	128
143	365
443	1508
742	2736
772	2116
609	1059
454	2604
482	1001
951	2067
415	2115
674	620
112	1424
695	369
187	493
936	819
293	752
599	831
605	1950
267	3199
933	504
171	433
590	276
577	658
686	299
966	429
541	1086
199	1172
75	1487
692	2571
214	3414
568	662
495	98
198	94
488	78
379	222
428	3321
915	4564
629	4822
24	2338
58	317
909	471
373	580
872	396
120	2430
643	559
685	1386
277	407
715	302
111	245
292	200
502	3250
718	3643
201	246
435	1509
500	2099
32	1103
680	1103
561	1660
631	559
765	2657
133	501
48	775
956	942
638	1022
53	879
572	496
253	377
191	743
105	943
220	749
440	335
537	735
657	350
274	582
278	833
940	417
833	522
185	429
192	419
532	1184
62	1634
646	877
90	2817
223	436
134	1222
997	279
704	742
280	1907
890	857
249	983
716	879
530	3747
891	4179
953	634
724	1408
720	1890
743	1453
859	80
275	865
849	1178
175	1329
381	1511
107	2258
14	2023
828	260
61	2930
308	101
566	363
233	960
830	190
769	320
660	185
335	1201
575	716
439	975
77	1389
260	1669
470	855
538	651
991	989
333	879
710	854
693	1098
295	273
6	638
409	480
976	618
0	832
228	911
854	987
542	1606
586	6266
65	916
762	652
106	304
5	791
231	2071
321	608
268	741
789	934
796	260
511	100
994	1135
245	1434
338	739
361	341
95	419
56	781
836	40
68	379
858	263
72	161
1004	1142
977	3115
927	844
823	604
722	274
535	971
551	286
369	829
770	97
113	333
513	384
485	710
250	807
444	417
136	1205
309	137
1	117
311	708
334	2150
173	559
493	1437
948	1510
963	1224
290	745
671	229
687	1168
393	222
712	591
855	934
697	755
656	624
103	792
950	959
514	629
303	124
624	449
499	1119
904	150
332	1616
318	452
918	397
679	161
101	732
597	34
980	637
787	57
189	1756
193	1228
