node	kcore
582	337
364	208
168	1303
472	1004
912	1303
2	726
790	981
322	374
42	169
402	175
870	308
337	291
663	413
362	478
410	381
565	328
550	429
987	403
433	400
343	413
581	630
135	630
942	627
978	517
988	325
421	560
795	560
547	393
851	517
469	442
188	432
614	308
301	227
954	227
817	264
167	442
141	306
552	227
424	560
35	227
207	623
569	403
749	403
174	27
534	413
844	328
684	328
31	885
165	885
429	565
401	577
862	432
418	1928
969	185
294	749
885	682
256	682
648	749
416	983
313	728
921	334
1001	683
159	689
356	1004
700	621
184	272
947	4931
774	4931
703	422
771	422
713	498
291	498
34	84
955	326
540	424
67	784
344	623
544	109
8	104
143	206
443	550
742	630
772	621
609	498
454	509
482	403
951	498
415	577
674	450
112	621
695	261
187	286
936	498
293	393
599	272
605	681
267	983
933	282
171	210
590	159
577	321
686	188
966	282
541	470
199	683
75	590
692	630
214	749
568	284
495	75
198	58
488	55
379	165
428	992
915	992
629	1275
24	1119
58	241
909	241
373	328
872	206
120	621
643	423
685	518
277	207
715	175
111	223
292	187
502	791
718	791
201	132
435	983
500	983
32	421
680	649
561	623
631	342
765	749
133	427
48	328
956	328
638	374
53	498
572	308
253	332
191	437
105	674
220	451
440	261
537	440
657	217
274	328
278	498
940	339
833	315
185	315
192	312
532	440
62	517
646	480
90	683
223	275
134	498
997	164
704	328
280	621
890	424
249	322
716	423
530	1275
891	1275
953	323
724	498
720	592
743	728
859	78
275	498
849	498
175	498
381	440
107	498
14	683
828	141
61	791
308	83
566	332
233	630
830	179
769	187
660	175
335	440
575	647
439	808
77	880
260	944
470	384
538	267
991	443
333	287
710	272
693	421
295	135
6	223
409	143
976	270
0	272
228	421
854	417
542	517
586	983
65	478
762	546
106	205
5	343
231	424
321	327
268	498
789	384
796	221
511	74
994	400
245	412
338	326
361	206
95	206
56	340
836	34
68	206
858	227
72	152
1004	498
977	791
927	478
823	335
722	143
535	335
551	140
369	335
770	97
113	202
513	200
485	367
250	367
444	250
136	639
309	99
1	99
311	263
334	590
173	388
493	533
948	728
963	784
290	424
671	175
687	480
393	155
712	334
855	382
697	382
656	328
103	327
950	357
514	264
303	115
624	328
499	328
904	113
332	983
318	327
918	327
679	151
101	498
597	33
980	332
787	56
189	532
193	498
923	621
236	440
166	749
602	728
137	228
592	498
652	61
595	449
365	155
114	158
84	64
732	196
738	443
783	443
925	263
523	77
374	281
868	749
935	958
383	520
392	510
517	621
803	388
126	981
4	308
432	206
197	238
840	327
809	206
873	263
251	206
28	206
531	403
588	41
