node	degree
380	2
381	1
382	9
383	1
507	1
508	7
509	1
593	3
604	3
605	2
606	2
607	1
599	5
750	2
751	1
752	1
753	4
754	1
755	1
756	2
757	2
758	1
759	1
760	1
65	4
761	1
762	1
967	2
968	4
969	5
1011	4
1012	1
1013	9
1014	12
1015	1
1219	2
1404	6
1405	1
1406	1
1407	1
1408	1
1409	2
1410	1
1411	1
1460	3
1461	9
1462	1
1463	1
1464	4
1629	1
1630	2
1631	2
1632	1
1636	2
1637	2
1638	7
1650	3
1651	1
1245	4
1653	2
1670	5
1671	1
1672	1
1673	1
1876	1
2030	1
2031	1
2032	3
2251	2
2252	3
2253	3
2279	2
2280	1
2281	2
671	5
901	3
2342	2
2343	1
2344	1
2345	2
2346	1
2369	1
2370	1
2371	3
2372	1
2373	3
2504	5
2242	1
2489	2
2673	1
2716	1
2717	1
2718	8
2719	2
2729	3
2730	2
3067	1
3068	1
3069	3
3198	2
3199	1
1394	5
889	3
3386	2
3387	2
3388	1
3631	1
578	1
564	1
3686	1
3752	1
2755	1
3842	3
3843	3
3844	1
3845	1
3846	1
3847	2
3807	2
213	1
3877	2
3961	4
3962	1
4106	3
4107	3
1395	2
739	2
4372	1
4420	2
4487	3
4488	4
4835	1
4836	1
4837	3
4898	3
4899	1
3409	6
4900	2
4901	1
4924	1
4925	1
4926	1
5052	3
5079	1
5183	1
5184	8
5185	22
5199	1
5200	1
5327	1
343	1
5328	4
5329	1
5330	1
5331	1
1157	1
2982	2
3968	3
5332	3
5438	1
5439	6
5440	5
5658	3
5659	3
5732	1
5733	3
5734	2
5735	1
1524	3
1918	3
1523	1
5790	3
1520	1
1519	1
5791	1
5792	1
1521	1
5793	1
5794	1
5795	1
5796	1
5797	1
5798	1
5799	3
5800	1
1522	1
5801	2
5802	1
5803	1
1701	1
5804	1
5805	1
5806	1
6026	1
6027	1
6028	2
6029	1
6157	1
2488	2
1555	1
6425	1
6426	2
27	1
28	3
6427	12
6442	4
6443	1
6444	4
6445	1
60	1
6529	2
6530	2
6531	2
6532	3
6533	2
6534	1
6535	1
6536	1
2740	2
6773	1
6774	2
6910	1
6911	2
6912	1
6913	1
7030	1
7031	1
7113	1
7114	1
512	3
7323	4
7377	3
7378	1
7379	1
7380	2
7710	1
7711	1
7996	4
7997	1
3530	4
8513	1
8514	1
8515	1
7396	1
740	2
8661	1
8877	4
7439	13
8878	1
8879	4
8970	2
8971	1
8972	2
9021	2
9022	7
9023	1
9024	1
7296	7
9100	3
9101	6
9102	2
9365	1
9366	1
4823	4
9367	2
9370	1
