node	kcore
380	1
381	1
382	2
383	1
507	1
508	1
509	1
593	1
604	1
605	1
606	1
607	1
599	2
750	1
751	1
752	1
753	1
754	1
755	1
756	1
757	1
758	1
759	1
760	1
65	1
761	1
762	1
967	1
968	1
969	1
1011	1
1012	1
1013	2
1014	2
1015	1
1219	1
1404	1
1405	1
1406	1
1407	1
1408	1
1409	1
1410	1
1411	1
1460	2
1461	2
1462	1
1463	1
1464	2
1629	1
1630	1
1631	1
1632	1
1636	1
1637	1
1638	1
1650	1
1651	1
1245	1
1653	1
1670	1
1671	1
1672	1
1673	1
1876	1
2030	1
2031	1
2032	1
2251	1
2252	1
2253	1
2279	1
2280	1
2281	1
671	1
901	1
2342	1
2343	1
2344	1
2345	1
2346	1
2369	1
2370	1
2371	1
2372	1
2373	1
2504	1
2242	1
2489	1
2673	1
2716	1
2717	1
2718	2
2719	1
2729	1
2730	1
3067	1
3068	1
3069	1
3198	1
3199	1
1394	1
889	1
3386	1
3387	1
3388	1
3631	1
578	1
564	1
3686	1
3752	1
2755	1
3842	1
3843	1
3844	1
3845	1
3846	1
3847	1
3807	1
213	1
3877	1
3961	1
3962	1
4106	1
4107	1
1395	1
739	1
4372	1
4420	1
4487	2
4488	2
4835	1
4836	1
4837	1
4898	1
4899	1
3409	1
4900	1
4901	1
4924	1
4925	1
4926	1
5052	2
5079	1
5183	1
5184	2
5185	2
5199	1
5200	1
5327	1
343	1
5328	1
5329	1
5330	1
5331	1
1157	1
2982	1
3968	1
5332	1
5438	1
5439	1
5440	1
5658	2
5659	1
5732	1
5733	2
5734	1
5735	1
1524	1
1918	1
1523	1
5790	1
1520	1
1519	1
5791	1
5792	1
1521	1
5793	1
5794	1
5795	1
5796	1
5797	1
5798	1
5799	1
5800	1
1522	1
5801	1
5802	1
5803	1
1701	1
5804	1
5805	1
5806	1
6026	1
6027	1
6028	1
6029	1
6157	1
2488	1
1555	1
6425	1
6426	1
27	1
28	1
6427	2
6442	1
6443	1
6444	1
6445	1
60	1
6529	1
6530	1
6531	1
6532	1
6533	1
6534	1
6535	1
6536	1
2740	1
6773	1
6774	1
6910	1
6911	1
6912	1
6913	1
7030	1
7031	1
7113	1
7114	1
512	1
7323	1
7377	2
7378	1
7379	1
7380	1
7710	1
7711	1
7996	1
7997	1
3530	1
8513	1
8514	1
8515	1
7396	1
740	1
8661	1
8877	1
7439	3
8878	1
8879	1
8970	1
8971	1
8972	1
9021	1
9022	3
9023	1
9024	1
7296	2
9100	1
9101	1
9102	1
9365	1
9366	1
4823	1
9367	1
9370	1
8381	3
9373	1
9649	1
9650	2
9651	1
9652	1
9653	2
2433	1
9822	1
7418	1
9897	1
9903	1
799	1
6268	1
8789	1
9517	1
2723	1
8179	1
9913	1
2418	1
9336	1
3340	1
9272	1
8082	1
9120	1
4428	1
10015	1
9266	1
10016	1
8750	1
10091	1
10092	1
10093	1
10094	1
10126	1
8937	1
10127	1
10190	1
2296	1
10414	1
9549	1
9348	1
10415	1
10468	1
7420	1
10496	1
10497	1
10639	1
3983	1
10692	1
10697	1
10698	1
10699	1
10768	1
10776	1
10777	1
10263	1
10774	1
10831	1
10832	1
10837	1
10838	1
10839	1
10840	1
5072	2
10346	1
10184	2
10343	1
10173	1
10914	2
10947	1
10869	1
10948	1
10981	1
10982	1
10983	1
11041	1
11369	1
11370	1
11419	1
11420	1
11786	1
11787	1
5114	1
11903	1
7798	1
9980	1
11904	1
11905	1
11916	1
10124	1
11921	1
11922	1
11973	1
10539	1
6179	1
10295	1
10187	1
2887	1
2894	1
12088	1
11176	1
12089	1
12090	1
12091	1
12166	1
12167	1
12180	1
9144	1
12195	1
9776	2
12107	1
12335	1
8333	1
9618	1
12443	1
9876	1
12444	1
3868	1
12416	1
12467	1
1506	1
12506	1
12505	1
12511	1
13001	1
13002	1
13003	1
13456	1
13457	1
13458	1
13459	1
13632	1
3504	1
14409	1
14410	1
14453	1
14454	1
14455	1
14456	1
14878	1
14546	1
14547	1
14544	1
15020	1
15021	1
15087	1
15206	1
15207	1
16578	2
16582	2
16583	2
16584	2
16585	2
9299	1
9297	1
16993	1
16081	1
16994	1
16995	1
16996	1
16997	1
16998	1
16999	1
16135	1
17072	1
17073	1
17074	1
16689	1
17194	1
16146	1
17195	1
15735	1
15732	1
17722	1
16347	1
706	1
17723	1
16348	1
15935	1
17733	1
17734	1
17501	1
18069	1
18070	1
17197	1
18076	3
15684	1
18103	1
18104	1
7707	1
18105	2
18150	2
18151	1
18152	1
8276	1
18153	1
18154	2
18155	2
18177	1
18178	1
18179	1
18180	1
18283	1
18313	1
15828	1
16871	1
18432	2
2184	2
18451	1
7288	1
18452	1
12339	1
17679	1
