node	degree
0	6
694	10
786	8
1875	4
5795	8
5860	2
5983	1
2013	10
4477	10
977	10
1047	10
3269	6
4135	7
5008	8
1757	10
2324	7
2705	8
4385	7
4793	8
5776	7
1	3
5558	10
5568	10
3635	9
3855	9
4510	5
5366	5
5471	10
994	3
2354	7
3800	5
2	4
2001	9
3816	7
5682	4
2069	7
3791	9
358	8
907	10
1064	6
1308	6
4712	10
5361	5
5634	8
5773	10
1098	6
2335	5
3875	8
5232	5
3	1
4761	4
5998	8
4	1
159	2
715	8
5306	7
5624	8
5	5
1268	9
3173	5
5496	10
101	9
666	5
736	10
2025	3
2364	6
787	5
4781	5
686	8
3911	4
38	4
284	1
997	3
1519	9
2043	7
2821	6
2886	3
6	9
823	9
1172	5
3773	8
2648	5
3334	9
5460	7
438	8
733	2
1170	8
1228	10
1890	6
4706	5
4746	4
5153	6
1388	8
3224	7
5209	10
5316	8
5779	3
443	8
1352	10
3020	5
3122	7
102	7
178	6
662	5
3528	10
2072	3
3084	2
7	9
4371	2
388	7
614	10
5157	9
21	9
2374	2
4077	8
241	3
4614	7
1973	10
2165	8
1244	4
1984	9
2710	7
4939	9
5010	8
967	7
1485	4
1831	5
3319	8
4612	7
4972	4
82	6
993	7
4150	5
8	10
4663	3
493	8
1056	7
1208	9
2574	6
5946	6
568	9
972	7
2353	9
2764	10
234	2
327	7
4666	8
5960	8
5979	8
3003	10
5723	5
34	7
314	5
1553	9
3833	8
5970	4
273	7
982	7
1969	10
3337	4
3828	3
872	8
1004	10
2999	6
5584	8
1910	10
3666	10
4327	5
1122	6
2830	6
9	4
4194	3
503	8
1115	2
1908	5
2563	10
3413	9
992	7
5456	9
2108	4
10	3
2136	9
2947	1
4084	8
5404	4
2688	10
3688	8
3869	7
4842	8
4926	9
542	4
598	7
886	6
1445	2
4954	8
5169	8
5256	7
5969	2
11	8
649	4
826	7
4564	10
2873	8
5872	5
5596	6
602	8
2148	10
2384	4
3145	5
5107	10
5603	3
394	8
4261	9
5664	4
5926	4
2485	7
2720	4
564	5
781	7
1158	10
3304	5
4271	10
4632	5
5326	8
12	9
1450	7
3425	10
5156	5
5572	3
164	9
1310	10
2613	7
2840	8
461	8
1939	9
3039	9
5356	9
1836	10
3557	4
5360	8
3011	6
3949	9
5700	9
2894	6
2942	10
1132	6
4415	7
1962	9
2182	8
4082	6
4928	3
5621	2
13	5
4104	9
5320	10
943	6
3526	10
5943	10
2567	8
4569	8
1440	10
3690	6
947	9
3759	7
5425	10
14	9
661	9
5388	10
5637	7
1904	7
2827	8
5691	10
98	8
2875	8
3863	8
5502	10
2713	9
5947	7
1782	6
4165	10
4927	9
302	10
1251	9
1744	10
2234	10
4495	1
5400	9
2156	8
3852	6
15	8
638	10
3109	3
3954	10
5696	8
1066	8
1136	8
920	5
1125	8
4540	10
4551	3
1982	8
4200	9
5574	7
801	8
2791	3
3059	9
3339	2
4158	3
5607	7
5791	8
1217	7
798	10
4298	10
1455	8
2270	9
4156	4
16	9
1845	6
2529	9
2671	7
3753	8
2878	7
3772	6
4822	6
5559	6
591	8
605	9
906	9
2035	10
3851	8
4009	1
585	8
2017	9
3281	9
4004	8
410	9
1592	10
3138	2
3514	6
930	7
974	7
1232	9
4967	4
3065	2
4166	5
5160	9
5284	10
525	9
1617	7
3355	10
1989	6
3207	6
5788	10
17	5
1399	10
1543	5
1746	9
4754	8
270	2
1204	3
1219	9
5877	9
1033	10
1321	8
2406	4
3478	9
2733	9
