node	kcore
0	3
694	3
786	3
1875	2
5795	3
5860	1
5983	1
2013	3
4477	3
977	3
1047	3
3269	3
4135	3
5008	3
1757	3
2324	3
2705	3
4385	3
4793	3
5776	3
1	2
5558	3
5568	3
3635	3
3855	3
4510	3
5366	3
5471	3
994	2
2354	3
3800	2
2	3
2001	3
3816	3
5682	2
2069	3
3791	3
358	3
907	3
1064	3
1308	3
4712	3
5361	3
5634	3
5773	3
1098	3
2335	3
3875	3
5232	3
3	1
4761	2
5998	3
4	1
159	1
715	3
5306	3
5624	2
5	3
1268	3
3173	3
5496	3
101	3
666	2
736	3
2025	2
2364	3
787	3
4781	3
686	3
3911	3
38	2
284	1
997	2
1519	3
2043	3
2821	3
2886	2
6	3
823	3
1172	3
3773	3
2648	3
3334	3
5460	3
438	3
733	2
1170	3
1228	3
1890	3
4706	3
4746	3
5153	3
1388	3
3224	3
5209	3
5316	3
5779	3
443	3
1352	3
3020	3
3122	2
102	3
178	3
662	3
3528	3
2072	2
3084	2
7	3
4371	2
388	3
614	3
5157	3
21	3
2374	2
4077	3
241	2
4614	3
1973	3
2165	3
1244	3
1984	3
2710	3
4939	3
5010	3
967	3
1485	3
1831	3
3319	3
4612	3
4972	3
82	3
993	3
4150	2
8	3
4663	2
493	2
1056	3
1208	3
2574	3
5946	2
568	3
972	3
2353	3
2764	3
234	2
327	3
4666	3
5960	3
5979	3
3003	3
5723	3
34	3
314	2
1553	3
3833	3
5970	2
273	3
982	3
1969	3
3337	3
3828	3
872	3
1004	3
2999	3
5584	3
1910	3
3666	3
4327	3
1122	3
2830	3
9	2
4194	2
503	3
1115	2
1908	2
2563	3
3413	3
992	3
5456	3
2108	3
10	2
2136	3
2947	1
4084	3
5404	3
2688	3
3688	3
3869	3
4842	3
4926	3
542	2
598	3
886	3
1445	2
4954	3
5169	3
5256	3
5969	2
11	3
649	2
826	3
4564	3
2873	3
5872	3
5596	3
602	3
2148	3
2384	3
3145	3
5107	3
5603	3
394	3
4261	3
5664	3
5926	3
2485	2
2720	2
564	2
781	3
1158	3
3304	2
4271	3
4632	2
5326	3
12	3
1450	3
3425	3
5156	2
5572	2
164	3
1310	3
2613	3
2840	3
461	3
1939	3
3039	3
5356	3
1836	3
3557	2
5360	3
3011	2
3949	3
5700	3
2894	3
2942	3
1132	3
4415	3
1962	3
2182	3
4082	3
4928	2
5621	2
13	3
4104	3
5320	3
943	3
3526	3
5943	3
2567	3
4569	3
1440	3
3690	3
947	3
3759	3
5425	3
14	3
661	3
5388	3
5637	3
1904	3
2827	3
5691	3
98	3
2875	3
3863	3
5502	3
2713	3
5947	3
1782	3
4165	3
4927	3
302	3
1251	3
1744	3
2234	3
4495	1
5400	3
2156	3
3852	3
15	3
638	3
3109	3
3954	3
5696	3
1066	3
1136	3
920	3
1125	3
4540	3
4551	3
1982	3
4200	3
5574	3
801	3
2791	2
3059	3
3339	2
4158	2
5607	3
5791	3
1217	3
798	3
4298	3
1455	3
2270	3
4156	3
16	3
1845	3
2529	3
2671	3
3753	3
2878	3
3772	3
4822	3
5559	3
591	3
605	3
906	3
2035	3
3851	3
4009	1
585	3
2017	3
3281	3
4004	3
410	3
1592	3
3138	2
3514	3
930	3
974	3
1232	3
4967	3
3065	2
4166	2
5160	3
5284	3
525	3
1617	3
3355	3
1989	3
3207	3
5788	3
17	3
1399	3
1543	3
1746	3
4754	3
270	2
1204	2
1219	3
5877	3
1033	3
1321	3
2406	2
3478	3
2733	3
2887	3
3529	3
2647	3
3442	3
4483	3
5576	3
18	3
2068	3
3817	3
5005	3
5019	3
