node	degree
2726956381513258	102
2573485501354547	3
2534615147427891	45
2573485501354543	46
2573485501354550	83
2573485501354580	78
2534615147427926	31
2726956381513259	55
2726956381513261	25
2573485501354555	113
2726956381513274	1
2726956381513272	199
2726956381513277	118
2726956381513267	4
2726956381513294	79
2726956381513275	17
2726956381513285	82
2726956381513292	68
2726956381513316	16
2726956381513296	22
2726956381513297	36
2726956381513301	13
2726956381513326	29
2726956381513268	91
2726956381513315	9
2726956381513298	15
2726956381513289	120
2726956381513355	15
2726956381513302	73
2573485501354546	3
2726956381513454	2
2726956381513504	26
2726956381513505	54
2726956381513497	116
2726956381513408	76
2726956381513352	28
2726956381513511	25
2726956381513270	229
2727626560029236	102
2727626560029234	94
2726956381513362	1
2726956381513377	44
2726956381513476	162
2726956381513418	86
2727626560029241	9
2726956381513299	55
2727626560029238	1
2726956381513512	24
2573485501354552	23
2573485501354544	3
2727626560029235	58
2726956381513280	56
2573485501354634	4
2726956381513283	53
2727626560029240	1
2727626560029245	53
2726956381513265	32
2727626560029242	10
2726956381513262	7
2726956381513336	125
2727626560029250	35
2727626560029248	11
2727626560029239	1
2726956381513501	1
2727626560029246	89
2732987988157060	32
2731647631125115	3
2726956381513314	140
2732317809641134	12
2726956381513443	77
2729637095577268	34
2728966917061253	17
2730977452609273	237
2731647631125195	5
2730307274093244	124
2730977452609181	23
2728966917061208	14
2732987988157057	52
2731647631125177	12
2730977452609251	68
2731647631125344	45
2727626560029311	47
2728296738545352	191
2727626560029283	132
2732317809641210	39
2730307274093147	65
2730307274093361	62
2573485501354597	3
2732987988157062	51
2731647631125317	23
2731647631125341	14
2573485501354574	48
2728296738545266	134
2728966917061331	14
2728296738545466	199
2732317809641175	16
2534615147427893	57
2732987988157058	48
2732987988157061	40
2726956381513356	153
2730307274093222	3
2730307274093381	193
2726956381513424	38
2732987988157051	96
2731647631125330	268
2732317809641170	38
2730977452609257	16
2731647631125329	59
2730307274093236	145
2728966917061202	22
2727626560029340	25
2728296738545345	27
2728966917061209	23
2573485501354636	1
2728296738545381	26
2731647631125279	24
2732987988157052	75
2727626560029401	140
2728966917061304	63
2732987988157064	23
2727626560029286	2
2731647631125324	60
2730977452609208	6
2727626560029373	86
2731647631125182	111
2726956381513313	19
2727626560029259	63
2728966917061426	141
2731647631125314	20
2730977452609253	45
2732317809641217	17
2727626560029354	53
2730307274093297	47
2730977452609219	74
2730977452609135	3
2728296738545324	39
2731647631125343	37
2732317809641073	11
2732987988157056	216
2728296738545394	49
2732987988157065	3
2730307274093395	68
2728296738545217	43
2728296738545226	3
2728966917061271	27
2731647631125260	2
2729637095577366	60
2727626560029327	14
2727626560029381	5
2728966917061200	8
2730307274093261	131
2726956381513263	6
2727626560029260	25
2732987988157066	12
2731647631125288	87
2727626560029355	14
2727626560029385	19
2731647631125312	56
2731647631125266	29
2728296738545344	27
2731647631125202	28
2731647631125323	21
2731647631125320	21
2732987988157068	15
2726956381513364	68
2730977452609125	15
2732317809641235	3
2731647631125168	231
2730977452609338	21
2731647631125337	39
2728296738545388	39
2726956381513293	20
2726956381513373	155
2730977452609212	29
2726956381513492	23
2729637095577370	40
2732987988157054	101
2728296738545420	44
2730977452609351	13
2726956381513385	40
2732317809641132	16
2731647631125163	53
2726956381513273	36
2732317809641255	46
2732317809641297	15
2726956381513335	9
2730977452609274	7
2730977452609270	165
2728966917061229	72
2732317809641092	57
2728296738545290	9
2728966917061273	15
2731647631125230	123
2727626560029427	4
2731647631125229	13
2728296738545327	3
2731647631125269	105
2732317809641314	3
2732317809641095	46
2728296738545274	196
2732987988157069	187
2726956381513276	46
2731647631125291	68
2732987988157070	13
2731647631125118	143
2730977452609207	144
2727626560029455	158
2729637095577271	18
2726956381513416	71
2732317809641103	37
2727626560029387	235
2732317809641102	18
2732317809641309	4
2731647631125318	52
2732317809641247	39
2732317809641084	41
2730977452609198	211
2727626560029348	120
2728296738545286	60
2732987988157071	10
2732987988157072	31
2727626560029252	77
2732987988157074	34
2731647631125165	95
2732317809641147	12
2731647631125331	16
2727626560029364	71
2728966917061247	91
2727626560029430	30
2728296738545342	21
2731647631125197	4
2732317809641091	15
2732317809641232	17
2730977452609224	118
2726956381513382	95
2728296738545251	40
2730977452609246	61
2726956381513307	54
2730977452609144	16
2727626560029367	58
2732317809641075	48
2730307274093195	57
2727626560029335	12
2730977452609211	33
2732987988157075	46
2728296738545255	18
2728296738545238	29
2729637095577226	82
2728296738545292	172
2732317809641114	33
2731647631125253	21
2728296738545331	82
2730307274093359	142
2728966917061383	186
2732987988157077	33
2728966917061300	20
2732987988157078	17
2730977452609154	6
2732317809641223	289
2573485501354625	69
2728966917061267	99
2728296738545435	93
2732317809641177	17
2730977452609145	59
2730977452609371	40
2728296738545277	133
2727626560029315	5
2729637095577388	17
2730977452609339	36
2732317809641266	47
2730307274093358	41
2727626560029319	27
2730307274093362	24
2727626560029317	84
2731647631125217	163
2730307274093335	51
2727626560029300	8
2730977452609205	82
2731647631125228	95
2730977452609170	47
2728296738545271	40
2732317809641251	37
2728296738545295	43
2731647631125178	50
2728966917061396	32
2726956381513266	25
2730977452609355	25
2730977452609234	9
2732987988157084	5
2732987988157081	1
2728966917061338	97
2728296738545257	80
2728296738545355	56
2732987988157083	3
2731647631125310	6
2727626560029441	18
2732317809641191	56
2727626560029302	18
2728296738545370	89
2732317809641142	70
2728966917061219	6
2728296738545377	48
2728296738545427	81
2727626560029440	142
2727626560029452	78
2730307274093215	19
2730307274093288	24
2731647631125315	66
2732987988157085	31
2732317809641086	141
2730977452609373	12
2731647631125333	44
2727626560029449	14
2730307274093275	53
2726956381513295	80
2730307274093331	172
2732987988157087	38
2726956381513409	19
2728296738545431	38
2728966917061280	115
2732987988157079	110
2731647631125233	11
2731647631125338	24
2730307274093280	84
2727626560029468	199
2732317809641145	15
2732317809641196	34
2726956381513332	27
2727626560029357	39
2732317809641167	50
2727626560029453	6
2732317809641212	34
2727626560029448	50
2727626560029442	41
2730977452609256	40
2726956381513503	210
2726956381513319	66
2728296738545404	15
2726956381513303	69
2730977452609325	17
2730977452609134	39
2732987988157088	34
2732987988157086	3
2728966917061216	7
2573485501354584	80
2727626560029298	151
2726956381513483	192
2727626560029258	64
2730977452609237	10
2727626560029434	11
2732317809641161	72
2728296738545279	89
2732987988157089	15
2732317809641158	73
2730977452609322	95
2730977452609231	26
2730307274093165	77
2726956381513449	132
2729637095577402	31
2728296738545383	211
2727626560029425	3
2731647631125132	135
2729637095577390	97
2728966917061211	145
2729637095577376	17
2728966917061318	105
2726956381513484	87
2732317809641129	106
2732987988157091	23
2726956381513281	93
2729637095577197	102
2728966917061418	17
2728296738545319	29
2727626560029489	23
2730977452609227	12
2731647631125191	58
2730307274093262	54
2731647631125350	82
2727626560029289	5
2728966917061437	82
2730977452609287	7
2730307274093370	27
2732317809641276	70
2728296738545456	31
2730307274093235	55
2730307274093299	12
2731647631125295	364
2730307274093149	3
2726956381513402	16
2732317809641110	92
2731647631125274	6
2730977452609179	5
2728966917061323	53
2726956381513444	37
2732987988157096	3
2732317809641136	12
2732987988157093	82
2732987988157097	35
2728966917061430	7
2728296738545311	7
2731647631125135	15
2730307274093146	182
2728296738545389	163
2732317809641287	63
2727626560029290	56
2729637095577251	15
2732987988157092	24
2732987988157080	96
2730307274093232	21
2728296738545282	168
2731647631125276	63
2732317809641197	57
2729637095577417	82
2728966917061428	9
2732987988157099	10
2726956381513473	98
2732317809641105	17
2728296738545354	85
2732317809641152	16
2730977452609358	8
2730307274093292	12
2730307274093154	60
2729637095577273	156
2728966917061386	25
2727626560029350	40
2732987988157098	5
2728966917061399	125
2732317809641130	15
2728296738545262	118
2728966917061360	110
2534615147427906	39
2730307274093293	13
2732987988157103	123
2731647631125304	22
2728296738545296	1
2573485501354559	32
2731647631125209	31
2732317809641138	13
2730307274093170	20
2730307274093169	49
2732987988157095	11
2732987988157102	22
2728966917061392	16
2728296738545428	186
2732987988157101	21
2731647631125283	20
2573485501354612	74
2730977452609286	10
2728966917061223	172
2727626560029465	32
2729637095577217	5
2730307274093209	18
2728296738545259	21
2732317809641284	3
2731647631125196	18
2730977452609299	73
2731647631125105	6
2732317809641184	34
2731647631125151	58
2732317809641126	12
2728966917061348	6
2730307274093198	122
2728966917061329	72
2728296738545269	45
2728966917061294	80
2730307274093192	43
2729637095577411	176
2728296738545415	79
2730977452609220	24
2732987988157104	41
2730307274093271	55
2728966917061322	15
2728296738545240	2
2732317809641143	23
2727626560029377	2
2728966917061232	17
2731647631125108	71
2728966917061355	47
2729637095577312	1
2730977452609345	22
2732987988157105	3
2732317809641301	1
2732317809641277	22
2732317809641274	131
2730307274093397	18
2728296738545348	24
2728966917061441	64
2730307274093226	5
2727626560029466	5
2732317809641264	35
2732987988157108	43
2732987988157109	23
2730977452609360	33
2730307274093278	18
2730307274093265	15
2732987988157106	58
2730977452609291	54
2728296738545291	3
2732987988157067	8
2732317809641133	52
2731647631125242	29
2728966917061422	55
2726956381513363	26
2727626560029344	2
2732317809641106	9
2732317809641192	173
2730977452609330	7
2732987988157107	18
2728296738545252	55
2728966917061261	11
2730977452609349	79
2727626560029457	8
2732317809641204	10
2731647631125322	10
2534615147427909	133
2730977452609123	14
2728296738545440	5
2728296738545308	9
2731647631125237	10
2729637095577333	14
2732987988157113	64
2732317809641317	18
2732987988157111	6
2727626560029431	34
2728966917061420	62
2728966917061313	28
2728296738545243	118
2728966917061442	7
2730307274093214	118
2729637095577304	109
2728966917061287	7
2729637095577173	95
2729637095577259	33
2730307274093150	37
2729637095577207	216
2727626560029467	11
2730977452609342	10
2728296738545462	23
2730307274093369	29
2728296738545273	19
2732987988157110	3
2732317809641144	10
2728966917061439	41
2728966917061365	76
2732317809641157	54
2732987988157114	32
2731647631125297	101
2728296738545416	3
2730307274093337	70
2732317809641156	18
2729637095577403	21
2729637095577311	22
2573485501354589	6
2730977452609307	150
2730977452609343	22
2730307274093323	98
2730307274093291	5
2728296738545304	99
2730307274093184	172
2731647631125302	220
2732317809641128	41
2732317809641120	38
2732317809641237	28
2732317809641137	3
2732987988157116	24
2728966917061421	74
2727626560029389	4
2731647631125244	14
2728296738545359	59
2573485501354588	39
2726956381513347	30
2727626560029278	74
2727626560029345	38
2732317809641295	29
2726956381513328	20
2730977452609290	57
2730977452609214	136
2732987988157119	3
2728296738545338	95
2732987988157117	163
2732317809641249	41
2728296738545303	4
2732317809641203	1
2732987988157121	28
2732987988157118	65
2728296738545421	30
2728296738545231	41
2731647631125149	20
2730977452609301	42
2727626560029347	14
2732987988157120	34
2731647631125258	6
2728966917061346	110
2728966917061302	64
2731647631125272	11
2728966917061341	73
2730977452609272	8
2727626560029423	114
2730307274093229	115
2732987988157123	2
2731647631125158	50
2728296738545321	29
2729637095577291	29
2732317809641229	2
2732987988157125	18
2731647631125127	74
2732987988157124	6
2728296738545228	55
2728296738545256	66
2728966917061289	36
2729637095577274	39
2732987988157122	12
2728966917061252	149
2727626560029313	95
2728296738545392	53
2732987988157112	9
2732987988157129	82
2730307274093306	66
2729637095577410	82
2730307274093290	21
2728966917061414	11
2726956381513310	24
2727626560029474	18
2732987988157128	31
2727626560029308	26
2730307274093199	27
2732317809641220	4
2732987988157094	55
2730977452609173	125
2729637095577238	140
2728296738545398	53
2730977452609126	28
2732987988157130	22
2731647631125282	18
2726956381513397	6
2728966917061340	5
2732317809641181	53
2730307274093373	6
2731647631125164	27
2727626560029445	142
2727626560029314	18
2726956381513440	171
2732987988157127	4
2732987988157132	1
2729637095577167	53
2728296738545447	10
2731647631125340	110
2732987988157115	31
2732987988157131	26
2729637095577208	136
2732317809641286	38
2727626560029409	60
2573485501354563	41
2732987988157126	3
2729637095577313	3
2730977452609347	4
2729637095577222	19
2728966917061212	61
2730307274093152	28
2730307274093264	34
2731647631125201	52
2730977452609329	24
2727626560029329	29
2732987988157133	101
2726956381513469	24
2732317809641098	7
2732317809641207	113
2728966917061349	190
2727626560029333	89
2729637095577178	142
2573485501354629	46
2729637095577281	15
2728966917061382	25
2732317809641182	16
2729637095577187	73
2728296738545437	17
2728296738545461	27
2730307274093210	15
2727626560029328	37
2731647631125270	22
2732317809641307	40
2731647631125174	50
2730307274093230	4
2732987988157137	8
2732317809641168	47
2728296738545302	76
2726956381513306	45
2730977452609336	13
2730977452609316	91
2732317809641250	62
2730977452609222	31
2732317809641202	145
2727626560029391	3
2726956381513389	76
2732987988157138	22
2732987988157136	94
2732317809641246	47
2728296738545464	75
2730977452609223	58
2727626560029462	73
2727626560029432	70
2731647631125224	107
2732317809641174	25
2732317809641258	5
2732987988157140	9
2729637095577242	18
2726956381513329	40
2732987988157134	19
2728296738545315	65
2727626560029271	58
2727626560029392	76
2727626560029359	84
2731647631125298	90
2732987988157141	38
2728296738545384	54
2730977452609341	132
2729637095577407	33
2732987988157142	82
2732987988157146	9
2732987988157143	57
2728296738545434	4
2728296738545232	17
2726956381513320	29
2728296738545224	31
2727626560029323	2
2728296738545364	27
2732987988157147	26
2732987988157145	59
2730977452609368	116
2730307274093311	19
2730307274093248	49
2728966917061299	44
2732317809641097	40
2730977452609120	1
2728296738545413	22
2573485501354583	178
2573485501354591	12
2728296738545242	32
2727626560029295	21
2728966917061311	17
2731647631125286	121
2534615147427917	19
2732317809641183	52
2730307274093365	14
2728966917061262	5
2728296738545403	14
2727626560029414	13
2726956381513369	24
2728296738545411	3
2729637095577198	101
2729637095577209	32
2729637095577247	114
2732317809641159	183
2732987988157144	26
2732317809641267	53
2728966917061363	42
2732987988157149	1
2732317809641254	49
2731647631125311	28
2728296738545235	26
2732987988157151	30
2726956381513482	28
2732317809641082	24
2728296738545258	53
2732317809641089	31
2726956381513331	38
2726956381513349	36
2730307274093200	17
2727626560029478	9
2727626560029369	46
2730977452609196	69
2732317809641239	140
2732317809641139	3
2732317809641121	11
2731647631125236	15
2728966917061411	74
2731647631125247	68
2728296738545372	37
2732317809641263	20
2728296738545465	7
2729637095577337	47
2730977452609354	113
2729637095577175	24
2573485501354558	13
2732987988157152	53
2728296738545328	22
2729637095577246	18
2728966917061429	3
2730977452609175	64
2730307274093287	153
2726956381513470	153
2732317809641273	98
2728296738545219	66
2729637095577186	56
2730977452609160	67
2732317809641245	27
2729637095577188	28
2727626560029438	90
2728966917061352	95
2729637095577359	210
2732987988157158	148
2732987988157154	18
2731647631125152	9
2726956381513361	3
2732987988157150	5
2730307274093396	6
2731647631125137	86
2728966917061415	5
2729637095577404	3
2729637095577385	35
2728296738545430	8
2730307274093153	53
2728966917061332	16
2732987988157159	1
2732317809641228	23
2732987988157161	69
2732987988157155	126
2731647631125285	4
2726956381513358	83
2731647631125221	86
2730977452609361	24
2727626560029446	6
2727626560029261	39
2726956381513438	16
2729637095577168	17
2726956381513339	5
2728296738545278	35
2730307274093196	63
2730977452609148	82
2730307274093254	76
2732987988157160	25
2730307274093368	41
2730307274093372	41
2732987988157164	4
2732987988157162	3
2727626560029296	36
2727626560029439	23
2728296738545399	81
2728966917061205	36
2729637095577372	52
2732987988157163	9
2729637095577378	12
2729637095577371	28
2731647631125226	56
2728966917061361	65
2730977452609333	96
2732987988157156	3
2728966917061436	3
2728966917061207	16
2726956381513405	69
2731647631125348	18
2729637095577351	22
2732987988157157	7
2732987988157166	45
2731647631125140	19
2726956381513496	38
2732317809641315	126
2730977452609176	42
2731647631125259	45
2730307274093238	17
2730977452609230	16
2731647631125116	5
2728966917061195	9
2726956381513379	1
2727626560029450	48
2728966917061286	88
2731647631125290	48
2730307274093166	25
2726956381513506	41
2728296738545439	116
2728296738545358	29
2732987988157167	4
2730307274093283	53
2728296738545245	6
2732317809641173	161
2729637095577237	34
2726956381513456	79
2727626560029353	53
2727626560029338	45
2730977452609204	41
2729637095577265	46
2730977452609131	16
2731647631125139	2
2730977452609261	23
2732987988157165	52
2573485501354639	1
2728296738545212	4
2727626560029479	20
2727626560029481	4
2730307274093177	28
2729637095577267	3
2732317809641172	2
2732317809641234	14
2732317809641101	28
2730307274093390	105
2730307274093202	33
2728966917061412	3
2730307274093207	68
2730307274093270	92
2730977452609311	140
2732987988157169	12
2728966917061403	15
2730977452609353	53
2732317809641283	188
2730307274093159	19
2573485501354622	8
2728296738545455	5
2732317809641094	79
2732987988157171	170
2726956381513317	14
2732987988157173	25
2730307274093284	31
2728966917061222	17
2732987988157168	23
2731647631125325	23
2732317809641078	156
2730307274093189	51
2573485501354585	9
2730307274093276	45
2731647631125307	54
2729637095577326	32
2732987988157172	41
2732987988157174	24
2573485501354616	12
2731647631125227	6
2732317809641076	89
2732317809641221	5
2730307274093216	13
2729637095577383	10
2731647631125145	24
2732317809641241	9
2730307274093193	68
2728966917061272	141
2732317809641199	8
2729637095577332	95
2731647631125271	20
2732987988157177	52
2726956381513410	21
2729637095577375	74
2730977452609279	26
2727626560029406	4
2730307274093379	13
2731647631125212	18
2730977452609278	30
2726956381513279	173
2729637095577412	1
2732317809641288	54
2730307274093316	6
2728296738545265	22
2730307274093175	29
2731647631125120	117
2732987988157170	39
2573485501354632	5
2729637095577245	6
2729637095577239	84
2731647631125246	55
2729637095577200	100
2729637095577315	93
2728966917061364	9
2732987988157175	74
2726956381513412	16
2732317809641285	48
2732987988157181	8
2732987988157179	169
2732987988157183	2
2726956381513370	30
2728966917061406	3
2730977452609122	7
2728296738545230	20
2728296738545395	77
2726956381513493	41
2729637095577219	15
2726956381513485	9
2729637095577419	52
2729637095577252	9
2732987988157185	4
2732317809641281	1
2732317809641153	63
2573485501354608	45
2728966917061233	57
2729637095577225	11
2732987988157182	86
2730307274093194	12
