node	kcore
2726956381513258	9
2573485501354547	3
2534615147427891	9
2573485501354543	9
2573485501354550	9
2573485501354580	9
2534615147427926	9
2726956381513259	9
2726956381513261	9
2573485501354555	9
2726956381513274	1
2726956381513272	9
2726956381513277	9
2726956381513267	3
2726956381513294	9
2726956381513275	8
2726956381513285	9
2726956381513292	9
2726956381513316	9
2726956381513296	8
2726956381513297	9
2726956381513301	6
2726956381513326	9
2726956381513268	9
2726956381513315	7
2726956381513298	7
2726956381513289	9
2726956381513355	9
2726956381513302	9
2573485501354546	2
2726956381513454	2
2726956381513504	9
2726956381513505	9
2726956381513497	9
2726956381513408	9
2726956381513352	9
2726956381513511	8
2726956381513270	9
2727626560029236	9
2727626560029234	9
2726956381513362	1
2726956381513377	9
2726956381513476	9
2726956381513418	9
2727626560029241	7
2726956381513299	9
2727626560029238	1
2726956381513512	8
2573485501354552	9
2573485501354544	2
2727626560029235	9
2726956381513280	9
2573485501354634	3
2726956381513283	9
2727626560029240	1
2727626560029245	9
2726956381513265	9
2727626560029242	6
2726956381513262	6
2726956381513336	9
2727626560029250	9
2727626560029248	8
2727626560029239	1
2726956381513501	1
2727626560029246	9
2732987988157060	8
2731647631125115	3
2726956381513314	9
2732317809641134	7
2726956381513443	9
2729637095577268	9
2728966917061253	9
2730977452609273	9
2731647631125195	5
2730307274093244	9
2730977452609181	9
2728966917061208	7
2732987988157057	9
2731647631125177	8
2730977452609251	9
2731647631125344	9
2727626560029311	9
2728296738545352	9
2727626560029283	9
2732317809641210	9
2730307274093147	9
2730307274093361	9
2573485501354597	3
2732987988157062	9
2731647631125317	8
2731647631125341	5
2573485501354574	9
2728296738545266	9
2728966917061331	8
2728296738545466	9
2732317809641175	8
2534615147427893	9
2732987988157058	9
2732987988157061	9
2726956381513356	9
2730307274093222	3
2730307274093381	9
2726956381513424	9
2732987988157051	9
2731647631125330	9
2732317809641170	9
2730977452609257	8
2731647631125329	9
2730307274093236	9
2728966917061202	9
2727626560029340	9
2728296738545345	9
2728966917061209	8
2573485501354636	1
2728296738545381	9
2731647631125279	9
2732987988157052	9
2727626560029401	9
2728966917061304	9
2732987988157064	9
2727626560029286	2
2731647631125324	9
2730977452609208	6
2727626560029373	9
2731647631125182	9
2726956381513313	9
2727626560029259	9
2728966917061426	9
2731647631125314	9
2730977452609253	9
2732317809641217	7
2727626560029354	9
2730307274093297	9
2730977452609219	9
2730977452609135	3
2728296738545324	9
2731647631125343	9
2732317809641073	5
2732987988157056	9
2728296738545394	9
2732987988157065	3
2730307274093395	9
2728296738545217	9
2728296738545226	3
2728966917061271	9
2731647631125260	2
2729637095577366	9
2727626560029327	9
2727626560029381	4
2728966917061200	7
2730307274093261	9
2726956381513263	6
2727626560029260	9
2732987988157066	8
2731647631125288	9
2727626560029355	8
2727626560029385	9
2731647631125312	9
2731647631125266	9
2728296738545344	9
2731647631125202	7
2731647631125323	7
2731647631125320	9
2732987988157068	7
2726956381513364	9
2730977452609125	7
2732317809641235	3
2731647631125168	9
2730977452609338	9
2731647631125337	9
2728296738545388	9
2726956381513293	8
2726956381513373	9
2730977452609212	9
2726956381513492	8
2729637095577370	9
2732987988157054	9
2728296738545420	9
2730977452609351	6
2726956381513385	9
2732317809641132	9
2731647631125163	9
2726956381513273	9
2732317809641255	9
2732317809641297	8
2726956381513335	7
2730977452609274	7
2730977452609270	9
2728966917061229	9
2732317809641092	9
2728296738545290	8
2728966917061273	8
2731647631125230	9
2727626560029427	3
2731647631125229	6
2728296738545327	3
2731647631125269	9
2732317809641314	3
2732317809641095	9
2728296738545274	9
2732987988157069	9
2726956381513276	9
2731647631125291	9
2732987988157070	7
2731647631125118	9
2730977452609207	9
2727626560029455	9
2729637095577271	8
2726956381513416	9
2732317809641103	8
2727626560029387	9
2732317809641102	8
2732317809641309	4
2731647631125318	9
2732317809641247	9
2732317809641084	9
2730977452609198	9
2727626560029348	9
2728296738545286	9
2732987988157071	5
2732987988157072	8
2727626560029252	9
2732987988157074	8
2731647631125165	9
2732317809641147	7
2731647631125331	8
2727626560029364	9
2728966917061247	9
2727626560029430	9
2728296738545342	8
2731647631125197	4
2732317809641091	7
2732317809641232	8
2730977452609224	9
2726956381513382	9
2728296738545251	9
2730977452609246	9
2726956381513307	9
2730977452609144	7
2727626560029367	9
2732317809641075	9
2730307274093195	9
2727626560029335	7
2730977452609211	9
2732987988157075	9
2728296738545255	9
2728296738545238	9
2729637095577226	9
2728296738545292	9
2732317809641114	9
2731647631125253	8
2728296738545331	9
2730307274093359	9
2728966917061383	9
2732987988157077	8
2728966917061300	9
2732987988157078	8
2730977452609154	5
2732317809641223	9
2573485501354625	9
2728966917061267	9
2728296738545435	9
2732317809641177	8
2730977452609145	9
2730977452609371	9
2728296738545277	9
2727626560029315	5
2729637095577388	9
2730977452609339	9
2732317809641266	9
2730307274093358	9
2727626560029319	9
2730307274093362	9
2727626560029317	9
2731647631125217	9
2730307274093335	9
2727626560029300	7
2730977452609205	9
2731647631125228	9
2730977452609170	9
2728296738545271	9
2732317809641251	9
2728296738545295	9
2731647631125178	9
2728966917061396	9
2726956381513266	9
2730977452609355	9
2730977452609234	6
2732987988157084	3
2732987988157081	1
2728966917061338	9
2728296738545257	9
2728296738545355	9
2732987988157083	2
2731647631125310	4
2727626560029441	8
2732317809641191	9
2727626560029302	8
2728296738545370	9
2732317809641142	9
2728966917061219	6
2728296738545377	9
2728296738545427	9
2727626560029440	9
2727626560029452	9
2730307274093215	8
2730307274093288	7
2731647631125315	9
2732987988157085	9
2732317809641086	9
2730977452609373	7
2731647631125333	9
2727626560029449	8
2730307274093275	9
2726956381513295	9
2730307274093331	9
2732987988157087	8
2726956381513409	9
2728296738545431	9
2728966917061280	9
2732987988157079	9
2731647631125233	5
2731647631125338	8
2730307274093280	9
2727626560029468	9
2732317809641145	7
2732317809641196	9
2726956381513332	9
2727626560029357	9
2732317809641167	9
2727626560029453	6
2732317809641212	8
2727626560029448	9
2727626560029442	9
2730977452609256	9
2726956381513503	9
2726956381513319	9
2728296738545404	8
2726956381513303	9
2730977452609325	9
2730977452609134	9
2732987988157088	9
2732987988157086	3
2728966917061216	7
2573485501354584	9
